"hb_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S08000016",2020-07-01,"18-74","Health and Social Care Reasons",252,8
"S08000016",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000016",2020-07-01,"18-74","Code 9 AWI",0,0
"S08000016",2020-07-01,"18-74","Code 9 Non-AWI",0,0
"S08000016",2020-07-01,"75plus","All Delay Reasons",590,19
"S08000016",2020-07-01,"75plus","Health and Social Care Reasons",410,13
"S08000016",2020-07-01,"75plus","Patient and Family Related Reasons",12,0
"S08000016",2020-07-01,"75plus","Code 9 AWI",106,3
"S08000016",2020-07-01,"75plus","Code 9 Non-AWI",62,2
"S08000017",2020-07-01,"18plus","All Delay Reasons",682,22
"S08000017",2020-07-01,"18plus","Health and Social Care Reasons",456,15
"S08000017",2020-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000017",2020-07-01,"18plus","Code 9 AWI",102,3
"S08000017",2020-07-01,"18plus","Code 9 Non-AWI",124,4
"S08000017",2020-07-01,"18-74","All Delay Reasons",424,14
"S08000017",2020-07-01,"18-74","Health and Social Care Reasons",266,9
"S08000017",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000017",2020-07-01,"18-74","Code 9 AWI",65,2
"S08000017",2020-07-01,"18-74","Code 9 Non-AWI",93,3
"S08000017",2020-07-01,"75plus","All Delay Reasons",258,8
"S08000017",2020-07-01,"75plus","Health and Social Care Reasons",190,6
"S08000017",2020-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000017",2020-07-01,"75plus","Code 9 AWI",37,1
"S08000017",2020-07-01,"75plus","Code 9 Non-AWI",31,1
"S08000019",2020-07-01,"18plus","All Delay Reasons",1753,57
"S08000019",2020-07-01,"18plus","Health and Social Care Reasons",801,26
"S08000019",2020-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000019",2020-07-01,"18plus","Code 9 AWI",477,15
"S08000019",2020-07-01,"18plus","Code 9 Non-AWI",475,15
"S08000019",2020-07-01,"18-74","All Delay Reasons",664,21
"S08000019",2020-07-01,"18-74","Health and Social Care Reasons",173,6
"S08000019",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000019",2020-07-01,"18-74","Code 9 AWI",190,6
"S08000019",2020-07-01,"18-74","Code 9 Non-AWI",301,10
"S08000019",2020-07-01,"75plus","All Delay Reasons",1089,35
"S08000019",2020-07-01,"75plus","Health and Social Care Reasons",628,20
"S08000019",2020-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000019",2020-07-01,"75plus","Code 9 AWI",287,9
"S08000019",2020-07-01,"75plus","Code 9 Non-AWI",174,6
"S08000020",2020-07-01,"18plus","All Delay Reasons",1563,50
"S08000020",2020-07-01,"18plus","Health and Social Care Reasons",1101,36
"S08000020",2020-07-01,"18plus","Patient and Family Related Reasons",12,0
"S08000020",2020-07-01,"18plus","Code 9 AWI",357,12
"S08000020",2020-07-01,"18plus","Code 9 Non-AWI",93,3
"S08000020",2020-07-01,"18-74","All Delay Reasons",365,12
"S08000020",2020-07-01,"18-74","Health and Social Care Reasons",204,7
"S08000020",2020-07-01,"18-74","Patient and Family Related Reasons",5,0
"S08000020",2020-07-01,"18-74","Code 9 AWI",63,2
"S08000020",2020-07-01,"18-74","Code 9 Non-AWI",93,3
"S08000020",2020-07-01,"75plus","All Delay Reasons",1198,39
"S08000020",2020-07-01,"75plus","Health and Social Care Reasons",897,29
"S08000020",2020-07-01,"75plus","Patient and Family Related Reasons",7,0
"S08000020",2020-07-01,"75plus","Code 9 AWI",294,9
"S08000020",2020-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000022",2020-07-01,"18plus","All Delay Reasons",2444,79
"S08000022",2020-07-01,"18plus","Health and Social Care Reasons",1790,58
"S08000022",2020-07-01,"18plus","Patient and Family Related Reasons",67,2
"S08000022",2020-07-01,"18plus","Code 9 AWI",334,11
"S08000022",2020-07-01,"18plus","Code 9 Non-AWI",253,8
"S08000022",2020-07-01,"18-74","All Delay Reasons",936,30
"S08000022",2020-07-01,"18-74","Health and Social Care Reasons",640,21
"S08000022",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000022",2020-07-01,"18-74","Code 9 AWI",117,4
"S08000022",2020-07-01,"18-74","Code 9 Non-AWI",179,6
"S08000022",2020-07-01,"75plus","All Delay Reasons",1508,49
"S08000022",2020-07-01,"75plus","Health and Social Care Reasons",1150,37
"S08000022",2020-07-01,"75plus","Patient and Family Related Reasons",67,2
"S08000022",2020-07-01,"75plus","Code 9 AWI",217,7
"S08000022",2020-07-01,"75plus","Code 9 Non-AWI",74,2
"S08000024",2020-07-01,"18plus","All Delay Reasons",4534,146
"S08000024",2020-07-01,"18plus","Health and Social Care Reasons",3779,122
"S08000024",2020-07-01,"18plus","Patient and Family Related Reasons",242,8
"S08000024",2020-07-01,"18plus","Code 9 AWI",493,16
"S08000024",2020-07-01,"18plus","Code 9 Non-AWI",20,1
"S08000024",2020-07-01,"18-74","All Delay Reasons",1497,48
"S08000024",2020-07-01,"18-74","Health and Social Care Reasons",1299,42
"S08000024",2020-07-01,"18-74","Patient and Family Related Reasons",82,3
"S08000024",2020-07-01,"18-74","Code 9 AWI",101,3
"S08000024",2020-07-01,"18-74","Code 9 Non-AWI",15,0
"S08000024",2020-07-01,"75plus","All Delay Reasons",3037,98
"S08000024",2020-07-01,"75plus","Health and Social Care Reasons",2480,80
"S08000024",2020-07-01,"75plus","Patient and Family Related Reasons",160,5
"S08000024",2020-07-01,"75plus","Code 9 AWI",392,13
"S08000024",2020-07-01,"75plus","Code 9 Non-AWI",5,0
"S08000025",2020-07-01,"18plus","All Delay Reasons",75,2
"S08000025",2020-07-01,"18plus","Health and Social Care Reasons",23,1
"S08000025",2020-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000025",2020-07-01,"18plus","Code 9 AWI",28,1
"S08000025",2020-07-01,"18plus","Code 9 Non-AWI",24,1
"S08000025",2020-07-01,"18-74","All Delay Reasons",24,1
"S08000025",2020-07-01,"18-74","Health and Social Care Reasons",0,0
"S08000025",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000025",2020-07-01,"18-74","Code 9 AWI",0,0
"S08000025",2020-07-01,"18-74","Code 9 Non-AWI",24,1
"S08000025",2020-07-01,"75plus","All Delay Reasons",51,2
"S08000025",2020-07-01,"75plus","Health and Social Care Reasons",23,1
"S08000025",2020-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000025",2020-07-01,"75plus","Code 9 AWI",28,1
"S08000025",2020-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000026",2020-07-01,"18plus","All Delay Reasons",25,1
"S08000026",2020-07-01,"18plus","Health and Social Care Reasons",20,1
"S08000026",2020-07-01,"18plus","Patient and Family Related Reasons",5,0
"S08000026",2020-07-01,"18plus","Code 9 AWI",0,0
"S08000026",2020-07-01,"18plus","Code 9 Non-AWI",0,0
"S08000026",2020-07-01,"18-74","All Delay Reasons",8,0
"S08000026",2020-07-01,"18-74","Health and Social Care Reasons",8,0
"S08000026",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000026",2020-07-01,"18-74","Code 9 AWI",0,0
"S08000026",2020-07-01,"18-74","Code 9 Non-AWI",0,0
"S08000026",2020-07-01,"75plus","All Delay Reasons",17,1
"S08000026",2020-07-01,"75plus","Health and Social Care Reasons",12,0
"S08000026",2020-07-01,"75plus","Patient and Family Related Reasons",5,0
"S08000026",2020-07-01,"75plus","Code 9 AWI",0,0
"S08000026",2020-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000028",2020-07-01,"18plus","All Delay Reasons",150,5
"S08000028",2020-07-01,"18plus","Health and Social Care Reasons",103,3
"S08000028",2020-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000028",2020-07-01,"18plus","Code 9 AWI",0,0
"S08000028",2020-07-01,"18plus","Code 9 Non-AWI",47,2
"S08000028",2020-07-01,"18-74","All Delay Reasons",20,1
"S08000028",2020-07-01,"18-74","Health and Social Care Reasons",20,1
"S08000028",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000028",2020-07-01,"18-74","Code 9 AWI",0,0
"S08000028",2020-07-01,"18-74","Code 9 Non-AWI",0,0
"S08000028",2020-07-01,"75plus","All Delay Reasons",130,4
"S08000028",2020-07-01,"75plus","Health and Social Care Reasons",83,3
"S08000028",2020-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000028",2020-07-01,"75plus","Code 9 AWI",0,0
"S08000028",2020-07-01,"75plus","Code 9 Non-AWI",47,2
"S08000029",2020-07-01,"18plus","All Delay Reasons",2250,73
"S08000029",2020-07-01,"18plus","Health and Social Care Reasons",1542,50
"S08000029",2020-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000029",2020-07-01,"18plus","Code 9 AWI",605,20
"S08000029",2020-07-01,"18plus","Code 9 Non-AWI",103,3
"S08000029",2020-07-01,"18-74","All Delay Reasons",884,29
"S08000029",2020-07-01,"18-74","Health and Social Care Reasons",544,18
"S08000029",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000029",2020-07-01,"18-74","Code 9 AWI",237,8
"S08000029",2020-07-01,"18-74","Code 9 Non-AWI",103,3
"S08000029",2020-07-01,"75plus","All Delay Reasons",1366,44
"S08000029",2020-07-01,"75plus","Health and Social Care Reasons",998,32
"S08000029",2020-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000029",2020-07-01,"75plus","Code 9 AWI",368,12
"S08000029",2020-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000030",2020-07-01,"18plus","All Delay Reasons",1395,45
"S08000030",2020-07-01,"18plus","Health and Social Care Reasons",655,21
"S08000030",2020-07-01,"18plus","Patient and Family Related Reasons",98,3
"S08000030",2020-07-01,"18plus","Code 9 AWI",258,8
"S08000030",2020-07-01,"18plus","Code 9 Non-AWI",384,12
"S08000030",2020-07-01,"18-74","All Delay Reasons",660,21
"S08000030",2020-07-01,"18-74","Health and Social Care Reasons",236,8
"S08000030",2020-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000030",2020-07-01,"18-74","Code 9 AWI",124,4
"S08000030",2020-07-01,"18-74","Code 9 Non-AWI",300,10
"S08000030",2020-07-01,"75plus","All Delay Reasons",735,24
"S08000030",2020-07-01,"75plus","Health and Social Care Reasons",419,14
"S08000030",2020-07-01,"75plus","Patient and Family Related Reasons",98,3
"S08000030",2020-07-01,"75plus","Code 9 AWI",134,4
"S08000030",2020-07-01,"75plus","Code 9 Non-AWI",84,3
"S08000031",2020-07-01,"18plus","All Delay Reasons",6687,216
"S08000031",2020-07-01,"18plus","Health and Social Care Reasons",3248,105
"S08000031",2020-07-01,"18plus","Patient and Family Related Reasons",581,19
"S08000031",2020-07-01,"18plus","Code 9 AWI",2349,76
"S08000031",2020-07-01,"18plus","Code 9 Non-AWI",509,16
"S08000031",2020-07-01,"18-74","All Delay Reasons",3046,98
"S08000031",2020-07-01,"18-74","Health and Social Care Reasons",1566,51
"S08000031",2020-07-01,"18-74","Patient and Family Related Reasons",170,5
"S08000031",2020-07-01,"18-74","Code 9 AWI",822,27
"S08000031",2020-07-01,"18-74","Code 9 Non-AWI",488,16
"S08000031",2020-07-01,"75plus","All Delay Reasons",3641,117
"S08000031",2020-07-01,"75plus","Health and Social Care Reasons",1682,54
"S08000031",2020-07-01,"75plus","Patient and Family Related Reasons",411,13
"S08000031",2020-07-01,"75plus","Code 9 AWI",1527,49
"S08000031",2020-07-01,"75plus","Code 9 Non-AWI",21,1
"S08000032",2020-07-01,"18plus","All Delay Reasons",4388,142
"S08000032",2020-07-01,"18plus","Health and Social Care Reasons",3539,114
"S08000032",2020-07-01,"18plus","Patient and Family Related Reasons",74,2
"S08000032",2020-07-01,"18plus","Code 9 AWI",491,16
"S08000032",2020-07-01,"18plus","Code 9 Non-AWI",284,9
"S08000032",2020-07-01,"18-74","All Delay Reasons",1459,47
"S08000032",2020-07-01,"18-74","Health and Social Care Reasons",1104,36
"S08000032",2020-07-01,"18-74","Patient and Family Related Reasons",32,1
"S08000032",2020-07-01,"18-74","Code 9 AWI",179,6
"S08000032",2020-07-01,"18-74","Code 9 Non-AWI",144,5
"S08000032",2020-07-01,"75plus","All Delay Reasons",2929,94
"S08000032",2020-07-01,"75plus","Health and Social Care Reasons",2435,79
"S08000032",2020-07-01,"75plus","Patient and Family Related Reasons",42,1
"S08000032",2020-07-01,"75plus","Code 9 AWI",312,10
"S08000032",2020-07-01,"75plus","Code 9 Non-AWI",140,5
"S92000003",2020-07-01,"18plus","All Delay Reasons",28377,915
"S92000003",2020-07-01,"18plus","Health and Social Care Reasons",18632,601
"S92000003",2020-07-01,"18plus","Patient and Family Related Reasons",1113,36
"S92000003",2020-07-01,"18plus","Code 9 AWI",6143,198
"S92000003",2020-07-01,"18plus","Code 9 Non-AWI",2489,80
"S92000003",2020-07-01,"18-74","All Delay Reasons",10698,345
"S92000003",2020-07-01,"18-74","Health and Social Care Reasons",6472,209
"S92000003",2020-07-01,"18-74","Patient and Family Related Reasons",308,10
"S92000003",2020-07-01,"18-74","Code 9 AWI",2121,68
"S92000003",2020-07-01,"18-74","Code 9 Non-AWI",1797,58
"S92000003",2020-07-01,"75plus","All Delay Reasons",17679,570
"S92000003",2020-07-01,"75plus","Health and Social Care Reasons",12160,392
"S92000003",2020-07-01,"75plus","Patient and Family Related Reasons",805,26
"S92000003",2020-07-01,"75plus","Code 9 AWI",4022,130
"S92000003",2020-07-01,"75plus","Code 9 Non-AWI",692,22
"S08000015",2020-08-01,"18plus","All Delay Reasons",1978,64
"S08000015",2020-08-01,"18plus","Health and Social Care Reasons",1181,38
"S08000015",2020-08-01,"18plus","Patient and Family Related Reasons",37,1
"S08000015",2020-08-01,"18plus","Code 9 AWI",624,20
"S08000015",2020-08-01,"18plus","Code 9 Non-AWI",136,4
"S08000015",2020-08-01,"18-74","All Delay Reasons",716,23
"S08000015",2020-08-01,"18-74","Health and Social Care Reasons",315,10
"S08000015",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000015",2020-08-01,"18-74","Code 9 AWI",286,9
"S08000015",2020-08-01,"18-74","Code 9 Non-AWI",115,4
"S08000015",2020-08-01,"75plus","All Delay Reasons",1262,41
"S08000015",2020-08-01,"75plus","Health and Social Care Reasons",866,28
"S08000015",2020-08-01,"75plus","Patient and Family Related Reasons",37,1
"S08000015",2020-08-01,"75plus","Code 9 AWI",338,11
"S08000015",2020-08-01,"75plus","Code 9 Non-AWI",21,1
"S08000016",2020-08-01,"18plus","All Delay Reasons",923,30
"S08000016",2020-08-01,"18plus","Health and Social Care Reasons",789,25
"S08000016",2020-08-01,"18plus","Patient and Family Related Reasons",4,0
"S08000016",2020-08-01,"18plus","Code 9 AWI",109,4
"S08000016",2020-08-01,"18plus","Code 9 Non-AWI",21,1
"S08000016",2020-08-01,"18-74","All Delay Reasons",252,8
"S08000016",2020-08-01,"18-74","Health and Social Care Reasons",252,8
"S08000016",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000016",2020-08-01,"18-74","Code 9 AWI",0,0
"S08000016",2020-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000016",2020-08-01,"75plus","All Delay Reasons",671,22
"S08000016",2020-08-01,"75plus","Health and Social Care Reasons",537,17
"S08000016",2020-08-01,"75plus","Patient and Family Related Reasons",4,0
"S08000016",2020-08-01,"75plus","Code 9 AWI",109,4
"S08000016",2020-08-01,"75plus","Code 9 Non-AWI",21,1
"S08000017",2020-08-01,"18plus","All Delay Reasons",799,26
"S08000017",2020-08-01,"18plus","Health and Social Care Reasons",556,18
"S08000017",2020-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000017",2020-08-01,"18plus","Code 9 AWI",95,3
"S08000017",2020-08-01,"18plus","Code 9 Non-AWI",148,5
"S08000017",2020-08-01,"18-74","All Delay Reasons",453,15
"S08000017",2020-08-01,"18-74","Health and Social Care Reasons",272,9
"S08000017",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000017",2020-08-01,"18-74","Code 9 AWI",47,2
"S08000017",2020-08-01,"18-74","Code 9 Non-AWI",134,4
"S08000017",2020-08-01,"75plus","All Delay Reasons",346,11
"S08000017",2020-08-01,"75plus","Health and Social Care Reasons",284,9
"S08000017",2020-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000017",2020-08-01,"75plus","Code 9 AWI",48,2
"S08000017",2020-08-01,"75plus","Code 9 Non-AWI",14,0
"S08000019",2020-08-01,"18plus","All Delay Reasons",2214,71
"S08000019",2020-08-01,"18plus","Health and Social Care Reasons",1409,45
"S08000019",2020-08-01,"18plus","Patient and Family Related Reasons",8,0
"S08000019",2020-08-01,"18plus","Code 9 AWI",534,17
"S08000019",2020-08-01,"18plus","Code 9 Non-AWI",263,8
"S08000019",2020-08-01,"18-74","All Delay Reasons",751,24
"S08000019",2020-08-01,"18-74","Health and Social Care Reasons",317,10
"S08000019",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000019",2020-08-01,"18-74","Code 9 AWI",199,6
"S08000019",2020-08-01,"18-74","Code 9 Non-AWI",235,8
"S08000019",2020-08-01,"75plus","All Delay Reasons",1463,47
"S08000019",2020-08-01,"75plus","Health and Social Care Reasons",1092,35
"S08000019",2020-08-01,"75plus","Patient and Family Related Reasons",8,0
"S08000019",2020-08-01,"75plus","Code 9 AWI",335,11
"S08000019",2020-08-01,"75plus","Code 9 Non-AWI",28,1
"S08000020",2020-08-01,"18plus","All Delay Reasons",1779,57
"S08000020",2020-08-01,"18plus","Health and Social Care Reasons",1321,43
"S08000020",2020-08-01,"18plus","Patient and Family Related Reasons",35,1
"S08000020",2020-08-01,"18plus","Code 9 AWI",289,9
"S08000020",2020-08-01,"18plus","Code 9 Non-AWI",134,4
"S08000020",2020-08-01,"18-74","All Delay Reasons",443,14
"S08000020",2020-08-01,"18-74","Health and Social Care Reasons",281,9
"S08000020",2020-08-01,"18-74","Patient and Family Related Reasons",17,1
"S08000020",2020-08-01,"18-74","Code 9 AWI",11,0
"S08000020",2020-08-01,"18-74","Code 9 Non-AWI",134,4
"S08000020",2020-08-01,"75plus","All Delay Reasons",1336,43
"S08000020",2020-08-01,"75plus","Health and Social Care Reasons",1040,34
"S08000020",2020-08-01,"75plus","Patient and Family Related Reasons",18,1
"S08000020",2020-08-01,"75plus","Code 9 AWI",278,9
"S08000020",2020-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000022",2020-08-01,"18plus","All Delay Reasons",2829,91
"S08000022",2020-08-01,"18plus","Health and Social Care Reasons",2116,68
"S08000022",2020-08-01,"18plus","Patient and Family Related Reasons",47,2
"S08000022",2020-08-01,"18plus","Code 9 AWI",236,8
"S08000022",2020-08-01,"18plus","Code 9 Non-AWI",430,14
"S08000022",2020-08-01,"18-74","All Delay Reasons",999,32
"S08000022",2020-08-01,"18-74","Health and Social Care Reasons",675,22
"S08000022",2020-08-01,"18-74","Patient and Family Related Reasons",31,1
"S08000022",2020-08-01,"18-74","Code 9 AWI",93,3
"S08000022",2020-08-01,"18-74","Code 9 Non-AWI",200,6
"S08000022",2020-08-01,"75plus","All Delay Reasons",1830,59
"S08000022",2020-08-01,"75plus","Health and Social Care Reasons",1441,46
"S08000022",2020-08-01,"75plus","Patient and Family Related Reasons",16,1
"S08000022",2020-08-01,"75plus","Code 9 AWI",143,5
"S08000022",2020-08-01,"75plus","Code 9 Non-AWI",230,7
"S08000024",2020-08-01,"18plus","All Delay Reasons",4738,153
"S08000024",2020-08-01,"18plus","Health and Social Care Reasons",4021,130
"S08000024",2020-08-01,"18plus","Patient and Family Related Reasons",179,6
"S08000024",2020-08-01,"18plus","Code 9 AWI",513,17
"S08000024",2020-08-01,"18plus","Code 9 Non-AWI",25,1
"S08000024",2020-08-01,"18-74","All Delay Reasons",1653,53
"S08000024",2020-08-01,"18-74","Health and Social Care Reasons",1395,45
"S08000024",2020-08-01,"18-74","Patient and Family Related Reasons",46,1
"S08000024",2020-08-01,"18-74","Code 9 AWI",187,6
"S08000024",2020-08-01,"18-74","Code 9 Non-AWI",25,1
"S08000024",2020-08-01,"75plus","All Delay Reasons",3085,100
"S08000024",2020-08-01,"75plus","Health and Social Care Reasons",2626,85
"S08000024",2020-08-01,"75plus","Patient and Family Related Reasons",133,4
"S08000024",2020-08-01,"75plus","Code 9 AWI",326,11
"S08000024",2020-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000025",2020-08-01,"18plus","All Delay Reasons",69,2
"S08000025",2020-08-01,"18plus","Health and Social Care Reasons",38,1
"S08000025",2020-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000025",2020-08-01,"18plus","Code 9 AWI",31,1
"S08000025",2020-08-01,"18plus","Code 9 Non-AWI",0,0
"S08000025",2020-08-01,"18-74","All Delay Reasons",31,1
"S08000025",2020-08-01,"18-74","Health and Social Care Reasons",31,1
"S08000025",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000025",2020-08-01,"18-74","Code 9 AWI",0,0
"S08000025",2020-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000025",2020-08-01,"75plus","All Delay Reasons",38,1
"S08000025",2020-08-01,"75plus","Health and Social Care Reasons",7,0
"S08000025",2020-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000025",2020-08-01,"75plus","Code 9 AWI",31,1
"S08000025",2020-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000026",2020-08-01,"18plus","All Delay Reasons",37,1
"S08000026",2020-08-01,"18plus","Health and Social Care Reasons",37,1
"S08000026",2020-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000026",2020-08-01,"18plus","Code 9 AWI",0,0
"S08000026",2020-08-01,"18plus","Code 9 Non-AWI",0,0
"S08000026",2020-08-01,"18-74","All Delay Reasons",13,0
"S08000026",2020-08-01,"18-74","Health and Social Care Reasons",13,0
"S08000026",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000026",2020-08-01,"18-74","Code 9 AWI",0,0
"S08000026",2020-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000026",2020-08-01,"75plus","All Delay Reasons",24,1
"S08000026",2020-08-01,"75plus","Health and Social Care Reasons",24,1
"S08000026",2020-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000026",2020-08-01,"75plus","Code 9 AWI",0,0
"S08000026",2020-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000028",2020-08-01,"18plus","All Delay Reasons",252,8
"S08000028",2020-08-01,"18plus","Health and Social Care Reasons",108,3
"S08000028",2020-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000028",2020-08-01,"18plus","Code 9 AWI",0,0
"S08000028",2020-08-01,"18plus","Code 9 Non-AWI",144,5
"S08000028",2020-08-01,"18-74","All Delay Reasons",26,1
"S08000028",2020-08-01,"18-74","Health and Social Care Reasons",26,1
"S08000028",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000028",2020-08-01,"18-74","Code 9 AWI",0,0
"S08000028",2020-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000028",2020-08-01,"75plus","All Delay Reasons",226,7
"S08000028",2020-08-01,"75plus","Health and Social Care Reasons",82,3
"S08000028",2020-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000028",2020-08-01,"75plus","Code 9 AWI",0,0
"S08000028",2020-08-01,"75plus","Code 9 Non-AWI",144,5
"S08000029",2020-08-01,"18plus","All Delay Reasons",2938,95
"S08000029",2020-08-01,"18plus","Health and Social Care Reasons",1992,64
"S08000029",2020-08-01,"18plus","Patient and Family Related Reasons",12,0
"S08000029",2020-08-01,"18plus","Code 9 AWI",726,23
"S08000029",2020-08-01,"18plus","Code 9 Non-AWI",208,7
"S08000029",2020-08-01,"18-74","All Delay Reasons",1243,40
"S08000029",2020-08-01,"18-74","Health and Social Care Reasons",777,25
"S08000029",2020-08-01,"18-74","Patient and Family Related Reasons",12,0
"S08000029",2020-08-01,"18-74","Code 9 AWI",277,9
"S08000029",2020-08-01,"18-74","Code 9 Non-AWI",177,6
"S08000029",2020-08-01,"75plus","All Delay Reasons",1695,55
"S08000029",2020-08-01,"75plus","Health and Social Care Reasons",1215,39
"S08000029",2020-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000029",2020-08-01,"75plus","Code 9 AWI",449,14
"S08000029",2020-08-01,"75plus","Code 9 Non-AWI",31,1
"S08000030",2020-08-01,"18plus","All Delay Reasons",1809,58
"S08000030",2020-08-01,"18plus","Health and Social Care Reasons",832,27
"S08000030",2020-08-01,"18plus","Patient and Family Related Reasons",43,1
"S08000030",2020-08-01,"18plus","Code 9 AWI",376,12
"S08000030",2020-08-01,"18plus","Code 9 Non-AWI",558,18
"S08000030",2020-08-01,"18-74","All Delay Reasons",857,28
"S08000030",2020-08-01,"18-74","Health and Social Care Reasons",298,10
"S08000030",2020-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000030",2020-08-01,"18-74","Code 9 AWI",227,7
"S08000030",2020-08-01,"18-74","Code 9 Non-AWI",332,11
"S08000030",2020-08-01,"75plus","All Delay Reasons",952,31
"S08000030",2020-08-01,"75plus","Health and Social Care Reasons",534,17
"S08000030",2020-08-01,"75plus","Patient and Family Related Reasons",43,1
"S08000030",2020-08-01,"75plus","Code 9 AWI",149,5
"S08000030",2020-08-01,"75plus","Code 9 Non-AWI",226,7
"S08000031",2020-08-01,"18plus","All Delay Reasons",7014,226
"S08000031",2020-08-01,"18plus","Health and Social Care Reasons",3649,118
"S08000031",2020-08-01,"18plus","Patient and Family Related Reasons",813,26
"S08000031",2020-08-01,"18plus","Code 9 AWI",2119,68
"S08000031",2020-08-01,"18plus","Code 9 Non-AWI",433,14
"S08000031",2020-08-01,"18-74","All Delay Reasons",3086,100
"S08000031",2020-08-01,"18-74","Health and Social Care Reasons",1728,56
"S08000031",2020-08-01,"18-74","Patient and Family Related Reasons",325,10
"S08000031",2020-08-01,"18-74","Code 9 AWI",600,19
"S08000031",2020-08-01,"18-74","Code 9 Non-AWI",433,14
"S08000031",2020-08-01,"75plus","All Delay Reasons",3928,127
"S08000031",2020-08-01,"75plus","Health and Social Care Reasons",1921,62
"S08000031",2020-08-01,"75plus","Patient and Family Related Reasons",488,16
"S08000031",2020-08-01,"75plus","Code 9 AWI",1519,49
"S08000031",2020-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000032",2020-08-01,"18plus","All Delay Reasons",4939,159
"S08000032",2020-08-01,"18plus","Health and Social Care Reasons",4280,138
"S08000032",2020-08-01,"18plus","Patient and Family Related Reasons",75,2
"S08000032",2020-08-01,"18plus","Code 9 AWI",411,13
"S08000032",2020-08-01,"18plus","Code 9 Non-AWI",173,6
"S08000032",2020-08-01,"18-74","All Delay Reasons",1826,59
"S08000032",2020-08-01,"18-74","Health and Social Care Reasons",1522,49
"S08000032",2020-08-01,"18-74","Patient and Family Related Reasons",74,2
"S08000032",2020-08-01,"18-74","Code 9 AWI",124,4
"S08000032",2020-08-01,"18-74","Code 9 Non-AWI",106,3
"S08000032",2020-08-01,"75plus","All Delay Reasons",3113,100
"S08000032",2020-08-01,"75plus","Health and Social Care Reasons",2758,89
"S08000032",2020-08-01,"75plus","Patient and Family Related Reasons",1,0
"S08000032",2020-08-01,"75plus","Code 9 AWI",287,9
"S08000032",2020-08-01,"75plus","Code 9 Non-AWI",67,2
"S92000003",2020-08-01,"18plus","All Delay Reasons",32318,1043
"S92000003",2020-08-01,"18plus","Health and Social Care Reasons",22329,720
"S92000003",2020-08-01,"18plus","Patient and Family Related Reasons",1253,40
"S92000003",2020-08-01,"18plus","Code 9 AWI",6063,196
"S92000003",2020-08-01,"18plus","Code 9 Non-AWI",2673,86
"S92000003",2020-08-01,"18-74","All Delay Reasons",12349,398
