"trust18_code","date","hospital","programme_of_care","specialty","total_available_beds","average_available_beds","total_occupied_beds","average_occupied_beds","total_inpatients","total_day_case","elective_inpatient","non_elective_inpatient","regular_attenders"
"WHSCT",2014-06-30,"South West Acute","Acute Services","General Medicine",5715,63,5412,60,1092,374,37,1055,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","General Practice Other",0,0,0,0,0,70,0,0,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","General Surgery",3668,40,3349,37,882,462,195,687,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","Gynaecology",467,5,412,5,199,165,101,98,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","Nephrology",7,0,7,0,0,0,0,0,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","Ophthalmology",0,0,0,0,0,59,0,0,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","Paediatrics",1690,19,697,8,422,0,18,404,0
"WHSCT",2014-06-30,"South West Acute","Acute Services","Rehabilitation",239,3,239,3,8,0,0,8,0
"WHSCT",2014-06-30,"South West Acute","Elderly Care","Geriatric Medicine",4580,50,4368,48,286,1,0,0,0
"WHSCT",2014-06-30,"South West Acute","Maternity & Child Health","Obstetrics",1468,16,859,9,387,0,0,0,0
"WHSCT",2014-06-30,"South West Acute","Maternity & Child Health","Well Babies Paed",477,5,477,5,286,0,0,0,0
"WHSCT",2014-06-30,"Tyrone and Fermanagh","Elderly Care","Old Age Psychiatry",3640,40,2612,29,29,0,0,0,0
"WHSCT",2014-06-30,"Tyrone and Fermanagh","Mental Health","Mental Illness",4550,50,4289,47,115,0,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Cardiology",364,4,53,1,671,15,4,667,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Clinical Oncology",0,0,0,0,0,24,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Ear Nose Throat",0,0,0,0,0,53,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","General Medicine",0,0,0,0,0,100,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","General Surgery",0,0,0,0,0,742,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Gynaecology",0,0,0,0,0,81,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Haematology Clinical",0,0,0,0,0,6,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Nephrology",0,0,0,0,0,2103,0,0,2103
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Ophthalmology",0,0,0,0,0,205,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Pain Management",0,0,0,0,0,77,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Palliative Medicine",910,10,646,7,36,0,16,20,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Rehabilitation",2730,30,2094,23,94,0,0,94,0
"WHSCT",2014-06-30,"Tyrone County","Acute Services","Urology",0,0,0,0,0,112,0,0,0
"WHSCT",2014-06-30,"Tyrone County","Mental Health","Mental Illness",0,0,0,0,0,23,0,0,0
"WHSCT",2014-06-30,"Waterside","Elderly Care","Geriatric Medicine",4368,48,3757,41,138,0,0,0,0
"WHSCT",2014-06-30,"Waterside","Elderly Care","Old Age Psychiatry",1638,18,1392,15,26,0,0,0,0
"BHSCT",2014-09-30,"Beechcroft","Mental Health","Child & Adolescent Psychiatry",2300,25,1809,20,40,0,0,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Anaesthetics",0,0,0,0,0,52,0,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Cardiology",2999,33,1913,21,744,420,164,580,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Clinical Oncology",183,2,183,2,47,0,10,37,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Dermatology",646,7,376,4,33,0,22,11,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Endocrinology",1,0,1,0,0,0,0,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Gastroenterology",1773,19,1773,19,213,635,34,179,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","General Medicine",3878,42,826,9,80,62,6,74,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","General Surgery",4803,52,3762,41,483,447,414,69,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Gynaecology",1914,21,1488,16,394,250,311,83,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Haematology Clinical",2968,32,2913,32,165,1394,65,100,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Medical Oncology",115,1,115,1,37,0,3,34,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Nephrology",4963,54,2691,29,268,6641,186,82,6530
"BHSCT",2014-09-30,"Belfast City","Acute Services","Neurology",0,0,0,0,2,2,0,2,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Pain Management",0,0,0,0,2,137,2,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Plastic Surgery",29,0,29,0,11,1,11,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Radiology",0,0,0,0,2,7,2,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Thoracic Medicine",5447,59,3671,40,419,85,86,333,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Thoracic Surgery",31,0,31,0,5,0,5,0,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Trauma & Orthopaedics Surgery",0,0,0,0,7,0,0,7,0
"BHSCT",2014-09-30,"Belfast City","Acute Services","Urology",3377,37,2376,26,669,1730,447,222,0
"BHSCT",2014-09-30,"Belfast City","Elderly Care","Geriatric Medicine",7485,81,6140,67,461,0,0,0,0
"BHSCT",2014-09-30,"Knockbracken","Elderly Care","Old Age Psychiatry",1840,20,920,10,5,0,0,0,0
"BHSCT",2014-09-30,"Knockbracken","Mental Health","Forensic Psychiatry",3128,34,3128,34,6,0,0,0,0
"BHSCT",2014-09-30,"Knockbracken","Mental Health","Mental Illness",8096,88,7862,86,43,0,0,0,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Accident & Emergency",371,4,115,1,201,0,0,201,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Cardiology",1578,17,1486,16,289,22,2,287,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Endocrinology",1046,11,1046,11,169,0,1,168,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Gastroenterology",1934,21,1934,21,284,330,24,260,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","General Medicine",4323,47,3744,41,649,53,2,647,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","General Surgery",1805,20,1603,17,200,293,143,57,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Gynaecology",0,0,0,0,0,176,0,0,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Ophthalmology",212,2,212,2,3,831,1,2,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Oral Surgery",0,0,0,0,0,47,0,0,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Pain Management",33,0,33,0,0,94,0,0,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Thoracic Medicine",3547,39,3547,39,357,24,16,341,0
"BHSCT",2014-09-30,"Mater Infirmorum","Acute Services","Urology",17,0,17,0,1,133,0,1,0
"BHSCT",2014-09-30,"Mater Infirmorum","Elderly Care","Geriatric Medicine",1139,12,1039,11,140,0,0,0,0
"BHSCT",2014-09-30,"Mater Infirmorum","Elderly Care","Old Age Psychiatry",636,7,636,7,8,0,0,0,0
"BHSCT",2014-09-30,"Mater Infirmorum","Mental Health","Mental Illness",4383,48,4259,46,98,10,0,0,0
"BHSCT",2014-09-30,"Muckamore Abbey","Learning Disability","Learning Disability",13131,143,12884,140,48,0,0,0,0
"BHSCT",2014-09-30,"Musgrave Park","Acute Services","Neurology",2116,23,1955,21,107,7,103,4,0
"BHSCT",2014-09-30,"Musgrave Park","Acute Services","Pain Management",0,0,0,0,1,133,1,0,0
"BHSCT",2014-09-30,"Musgrave Park","Acute Services","Rehabilitation",4389,48,3437,37,86,334,34,52,0
"BHSCT",2014-09-30,"Musgrave Park","Acute Services","Rheumatology",1402,15,900,10,119,29,80,39,0
"BHSCT",2014-09-30,"Musgrave Park","Acute Services","Trauma & Orthopaedics Surgery",8819,96,6064,66,1411,653,1291,120,0
"BHSCT",2014-09-30,"Musgrave Park","Elderly Care","Geriatric Medicine",5782,63,4871,53,138,0,0,0,0
"BHSCT",2014-09-30,"NI Cancer Centre","Acute Services","Clinical Oncology",3154,34,3154,34,484,1576,285,199,981
"BHSCT",2014-09-30,"NI Cancer Centre","Acute Services","Haematology Clinical",1284,14,1284,14,172,546,36,136,0
"BHSCT",2014-09-30,"NI Cancer Centre","Acute Services","Medical Oncology",1783,19,1488,16,247,1534,77,170,1032
"BHSCT",2014-09-30,"NI Cancer Centre","Acute Services","Radiology",6,0,6,0,3,0,3,0,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Accident & Emergency",422,5,0,0,0,0,0,0,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Anaesthetics",1089,12,776,8,39,0,9,30,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Cardiology",509,6,509,6,76,28,45,31,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Ear Nose Throat",59,1,59,1,43,38,23,20,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Haematology Clinical",179,2,179,2,39,258,29,10,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Medical Oncology",276,3,276,3,42,118,40,2,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Nephrology",74,1,74,1,22,115,18,4,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Neurosurgery",235,3,235,3,50,2,15,35,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Ophthalmology",16,0,16,0,14,1,7,7,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Paediatric Dentistry",3,0,3,0,2,93,2,0,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Paediatric Neurology",304,3,304,3,54,3,33,21,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Paediatric Surgery",985,11,985,11,251,169,89,162,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Paediatrics",3794,41,3794,41,861,141,113,748,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Plastic Surgery",116,1,116,1,45,106,30,15,0
"BHSCT",2014-09-30,"RBHSC","Acute Services","Trauma & Orthopaedics Surgery",639,7,639,7,254,48,81,173,0
"BHSCT",2014-09-30,"Royal Maternity","Acute Services","Paediatrics",4140,45,2734,30,113,0,0,113,0
"BHSCT",2014-09-30,"Royal Maternity","Maternity & Child Health","Obstetrics",4324,47,4665,51,1920,215,0,0,0
"BHSCT",2014-09-30,"Royal Maternity","Maternity & Child Health","Well Babies Paed",2760,30,1491,16,1141,0,0,0,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Accident & Emergency",832,9,544,6,700,0,0,700,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Anaesthetics",2383,26,1992,22,73,0,8,65,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Cardiac Surgery",3385,37,2710,30,243,0,156,87,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Cardiology",5217,57,4349,47,1129,359,472,657,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Dermatology",0,0,0,0,1,54,1,0,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Ear Nose Throat",2301,25,1351,15,496,467,356,140,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Endocrinology",1339,15,1261,14,205,29,44,161,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Gastroenterology",3562,39,3502,38,658,1533,73,585,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","General Medicine",8202,89,6257,68,1245,325,3,1242,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","General Surgery",11211,122,9666,105,1509,385,282,1227,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Genito-Urinary Medicine",72,1,72,1,5,0,0,5,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Gynaecology",0,0,0,0,1,1,0,1,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Infectious Diseases",417,5,368,4,30,0,2,28,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Neurology",1730,19,1709,19,191,196,95,96,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Neurosurgery",2846,31,2697,29,327,42,160,167,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Ophthalmology",1703,19,1119,12,250,1655,141,109,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Oral Surgery",349,4,10,0,7,26,7,0,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Plastic Surgery",637,7,556,6,88,69,47,41,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Radiology",0,0,0,0,0,49,0,0,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Restorative Dentistry",0,0,0,0,2,6,2,0,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Thoracic Medicine",2853,31,2853,31,517,23,8,509,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Thoracic Surgery",1349,15,1343,15,227,98,178,49,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Trauma & Orthopaedics Surgery",9847,107,9393,102,920,69,164,756,0
"BHSCT",2014-09-30,"Royal Victoria","Acute Services","Urology",0,0,0,0,1,0,0,1,0
"BHSCT",2014-09-30,"Royal Victoria","Elderly Care","Geriatric Medicine",1621,18,1414,15,470,0,0,0,0
"BHSCT",2014-09-30,"School of Dentistry","Acute Services","Oral Surgery",0,0,0,0,0,53,0,0,0
"BHSCT",2014-09-30,"School of Dentistry","Acute Services","Restorative Dentistry",0,0,0,0,0,43,0,0,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Accident & Emergency",1154,13,320,4,583,0,0,583,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Anaesthetics",97,1,13,0,1,0,0,1,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Cardiology",3387,37,2984,32,678,54,13,665,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Clinical Oncology",0,0,0,0,0,470,0,0,458
"NHSCT",2014-09-30,"Antrim","Acute Services","Dermatology",0,0,0,0,1,4,1,0,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Ear Nose Throat",383,4,383,4,282,190,186,96,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Endocrinology",0,0,0,0,3,0,0,3,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Gastroenterology",2130,23,2074,23,280,357,39,241,0
"NHSCT",2014-09-30,"Antrim","Acute Services","General Medicine",9741,106,8848,96,1578,21,32,1546,0
"NHSCT",2014-09-30,"Antrim","Acute Services","General Practice Other",0,0,0,0,2,79,2,0,0
"NHSCT",2014-09-30,"Antrim","Acute Services","General Surgery",7066,77,6050,66,1307,379,244,1063,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Gynaecology",793,9,625,7,264,241,147,117,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Haematology Clinical",486,5,481,5,50,520,18,32,479
"NHSCT",2014-09-30,"Antrim","Acute Services","Infectious Diseases",42,1,0,0,0,0,0,0,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Medical Oncology",0,0,0,0,0,297,0,0,288
"NHSCT",2014-09-30,"Antrim","Acute Services","Nephrology",2771,30,954,10,94,4514,54,40,4514
"NHSCT",2014-09-30,"Antrim","Acute Services","Oral Surgery",0,0,0,0,0,5,0,0,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Paediatrics",3146,34,2032,22,927,0,40,887,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Palliative Medicine",1102,12,1014,11,51,0,30,21,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Rheumatology",61,1,25,0,7,227,5,2,0
"NHSCT",2014-09-30,"Antrim","Acute Services","Thoracic Medicine",4465,49,4217,46,563,69,27,536,1
"NHSCT",2014-09-30,"Antrim","Elderly Care","Geriatric Medicine",3547,39,3038,33,489,0,0,0,0
"NHSCT",2014-09-30,"Antrim","Maternity & Child Health","Obstetrics",3066,33,2031,22,847,0,0,0,0
"NHSCT",2014-09-30,"Antrim","Maternity & Child Health","Well Babies Obs",2486,27,929,10,472,0,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Accident & Emergency",0,0,0,0,13,0,0,13,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Anaesthetics",55,1,0,0,0,0,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Cardiology",2380,26,2265,25,385,5,12,373,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Dermatology",0,0,0,0,0,110,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Ear Nose Throat",0,0,0,0,0,61,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Endocrinology",26,0,26,0,5,0,0,5,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Gastroenterology",290,3,290,3,39,236,4,35,0
"NHSCT",2014-09-30,"Causeway","Acute Services","General Medicine",5014,55,4515,49,701,1,7,694,0
"NHSCT",2014-09-30,"Causeway","Acute Services","General Practice Other",0,0,0,0,0,133,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","General Surgery",3906,43,3333,36,720,687,182,538,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Gynaecology",535,6,324,4,154,121,71,83,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Haematology Clinical",0,0,0,0,0,40,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Paediatrics",1179,13,320,4,255,0,22,233,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Pain Management",0,0,0,0,0,121,0,0,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Rehabilitation",0,0,0,0,38,0,0,38,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Thoracic Medicine",57,1,57,1,9,62,0,9,0
"NHSCT",2014-09-30,"Causeway","Acute Services","Urology",625,7,491,5,214,631,171,43,0
"NHSCT",2014-09-30,"Causeway","Elderly Care","Geriatric Medicine",1755,19,1584,17,101,0,0,0,0
"NHSCT",2014-09-30,"Causeway","Elderly Care","Old Age Psychiatry",184,2,195,2,1,0,0,0,0
"NHSCT",2014-09-30,"Causeway","Maternity & Child Health","Obstetrics",1827,20,787,9,406,0,0,0,0
"NHSCT",2014-09-30,"Causeway","Maternity & Child Health","Well Babies Obs",1797,20,604,7,292,0,0,0,0
"NHSCT",2014-09-30,"Causeway","Mental Health","Mental Illness",1932,21,1864,20,43,0,0,0,0
"NHSCT",2014-09-30,"Dalriada","Acute Services","General Practice Other",2432,26,2202,24,105,0,42,63,0
"NHSCT",2014-09-30,"Holywell","Elderly Care","Old Age Psychiatry",2852,31,3219,35,20,0,0,0,0
"NHSCT",2014-09-30,"Holywell","Mental Health","Mental Illness",8372,91,7751,84,177,0,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Ear Nose Throat",0,0,0,0,0,91,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Gastroenterology",0,0,0,0,3,371,3,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","General Medicine",72,1,0,0,2,35,0,2,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","General Practice Other",0,0,0,0,0,85,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","General Surgery",0,0,0,0,0,273,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Gynaecology",0,0,0,0,0,27,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Neurology",0,0,0,0,0,10,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Ophthalmology",0,0,0,0,0,177,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Pain Management",0,0,0,0,0,82,0,0,0
"NHSCT",2014-09-30,"Mid Ulster","Acute Services","Rehabilitation",2318,25,2201,24,79,0,0,79,0
"NHSCT",2014-09-30,"Mid Ulster","Elderly Care","Geriatric Medicine",370,4,179,2,6,0,0,0,0
"NHSCT",2014-09-30,"Moyle","Acute Services","General Practice Other",1472,16,1324,14,77,0,0,77,0
"NHSCT",2014-09-30,"Robinson Memorial","Acute Services","General Practice Other",1932,21,1869,20,68,0,12,56,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","Dermatology",0,0,0,0,0,72,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","Ear Nose Throat",0,0,0,0,0,40,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","Gastroenterology",0,0,0,0,0,695,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","General Medicine",18,0,18,0,0,7,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","General Surgery",0,0,0,0,0,432,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","Gynaecology",0,0,0,0,0,74,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","Rehabilitation",71,1,71,1,3,0,0,3,0
"NHSCT",2014-09-30,"Whiteabbey","Acute Services","Urology",0,0,0,0,0,209,0,0,0
"NHSCT",2014-09-30,"Whiteabbey","Elderly Care","Geriatric Medicine",3963,43,3583,39,176,0,0,0,0
"SEHSCT",2014-09-30,"Ards","Acute Services","General Medicine",0,0,0,0,2,136,0,2,0
"SEHSCT",2014-09-30,"Ards","Acute Services","General Practice Other",1106,12,1096,12,88,0,0,88,0
"SEHSCT",2014-09-30,"Ards","Acute Services","General Surgery",0,0,0,0,1,667,0,1,0
"SEHSCT",2014-09-30,"Ards","Acute Services","Gynaecology",0,0,0,0,0,53,0,0,0
"SEHSCT",2014-09-30,"Ards","Acute Services","Plastic Surgery",0,0,0,0,0,63,0,0,0
"SEHSCT",2014-09-30,"Ards","Acute Services","Urology",0,0,0,0,0,464,0,0,0
"SEHSCT",2014-09-30,"Ards","Elderly Care","Geriatric Medicine",735,8,572,6,37,0,0,0,0
"SEHSCT",2014-09-30,"Bangor","Acute Services","General Practice Other",1840,20,1708,19,119,1,0,119,0
"SEHSCT",2014-09-30,"Downe","Acute Services","Ear Nose Throat",0,0,0,0,0,13,0,0,0
"SEHSCT",2014-09-30,"Downe","Acute Services","Gastroenterology",0,0,0,0,0,52,0,0,0
"SEHSCT",2014-09-30,"Downe","Acute Services","General Medicine",4365,47,3807,41,615,44,4,611,0
"SEHSCT",2014-09-30,"Downe","Acute Services","General Practice Other",0,0,0,0,0,64,0,0,0
"SEHSCT",2014-09-30,"Downe","Acute Services","General Surgery",0,0,0,0,0,249,0,0,0
"SEHSCT",2014-09-30,"Downe","Acute Services","Ophthalmology",0,0,0,0,0,105,0,0,0
"SEHSCT",2014-09-30,"Downe","Acute Services","Oral Surgery",0,0,0,0,1,49,0,1,0
"SEHSCT",2014-09-30,"Downe","Acute Services","Trauma & Orthopaedics Surgery",0,0,0,0,0,7,0,0,0
"SEHSCT",2014-09-30,"Downe","Acute Services","Urology",0,0,0,0,0,42,0,0,0
"SEHSCT",2014-09-30,"Downe","Elderly Care","Geriatric Medicine",167,2,78,1,8,0,0,0,0
"SEHSCT",2014-09-30,"Downshire","Elderly Care","Old Age Psychiatry",1840,20,1345,15,22,0,0,0,0
"SEHSCT",2014-09-30,"Downshire","Mental Health","Mental Illness",5980,65,5566,61,104,0,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Ear Nose Throat",0,0,0,0,0,16,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","General Medicine",5890,64,4763,52,754,289,12,742,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","General Practice Other",0,0,0,0,0,63,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","General Surgery",1,0,1,0,1,511,1,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Gynaecology",0,0,0,0,0,250,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Neurology",0,0,0,0,0,2,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Neurosurgery",0,0,0,0,0,24,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Ophthalmology",0,0,0,0,0,183,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Plastic Surgery",0,0,0,0,0,129,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley","Acute Services","Urology",0,0,0,0,1,281,0,1,0
"SEHSCT",2014-09-30,"Lagan Valley","Elderly Care","Geriatric Medicine",2656,29,2280,25,148,0,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley PNU","Elderly Care","Old Age Psychiatry",1472,16,1287,14,16,0,0,0,0
"SEHSCT",2014-09-30,"Lagan Valley PNU","Mental Health","Mental Illness",1840,20,2046,22,79,0,0,0,0
"SEHSCT",2014-09-30,"Thompson House","Acute Services","Neurology",3220,35,2805,31,92,0,82,10,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Accident & Emergency",836,9,620,7,652,0,0,652,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Anaesthetics",970,11,654,7,48,0,0,48,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Cardiology",3130,34,2937,32,515,255,12,503,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Clinical Oncology",0,0,0,0,24,806,0,24,731
"SEHSCT",2014-09-30,"Ulster","Acute Services","Dermatology",0,0,0,0,2,760,2,0,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Ear Nose Throat",153,2,98,1,91,183,79,12,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","General Medicine",16302,177,15014,163,2538,902,55,2483,1
"SEHSCT",2014-09-30,"Ulster","Acute Services","General Practice Other",0,0,0,0,1,282,1,0,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","General Surgery",6293,68,5410,59,1193,59,321,872,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Gynaecology",1581,17,986,11,427,5,242,185,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Haematology Clinical",752,8,747,8,83,566,17,66,512
"SEHSCT",2014-09-30,"Ulster","Acute Services","Nephrology",158,2,158,2,37,3743,5,32,3731
"SEHSCT",2014-09-30,"Ulster","Acute Services","Neurology",0,0,0,0,0,15,0,0,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Oral Surgery",473,5,473,5,220,52,94,126,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Paediatric Surgery",0,0,0,0,1,101,0,1,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Paediatrics",2659,29,1877,20,743,41,45,698,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Pain Management",0,0,0,0,1,182,0,1,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Plastic Surgery",2129,23,1684,18,667,257,155,512,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Rheumatology",55,1,55,1,8,126,1,7,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Trauma & Orthopaedics Surgery",4220,46,3511,38,418,27,102,316,0
"SEHSCT",2014-09-30,"Ulster","Acute Services","Urology",883,10,883,10,266,0,134,132,0
"SEHSCT",2014-09-30,"Ulster","Elderly Care","Geriatric Medicine",7219,79,6984,76,701,101,0,0,0
"SEHSCT",2014-09-30,"Ulster","Maternity & Child Health","Obstetrics",4040,44,2657,29,1205,0,0,0,0
