"ltla_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S12000023",2019-08-01,"18plus","Code 9 AWI",0,0
"S12000023",2019-08-01,"18plus","Code 9 Non-AWI",0,0
"S12000023",2019-08-01,"18-74","All Delay Reasons",0,0
"S12000023",2019-08-01,"18-74","Health and Social Care Reasons",0,0
"S12000023",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000023",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000023",2019-08-01,"18-74","Code 9 Non-AWI",0,0
"S12000023",2019-08-01,"75plus","All Delay Reasons",101,3
"S12000023",2019-08-01,"75plus","Health and Social Care Reasons",101,3
"S12000023",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000023",2019-08-01,"75plus","Code 9 AWI",0,0
"S12000023",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000026",2019-08-01,"18plus","All Delay Reasons",1149,37
"S12000026",2019-08-01,"18plus","Health and Social Care Reasons",891,29
"S12000026",2019-08-01,"18plus","Patient and Family Related Reasons",80,3
"S12000026",2019-08-01,"18plus","Code 9 AWI",178,6
"S12000026",2019-08-01,"18plus","Code 9 Non-AWI",0,0
"S12000026",2019-08-01,"18-74","All Delay Reasons",353,11
"S12000026",2019-08-01,"18-74","Health and Social Care Reasons",238,8
"S12000026",2019-08-01,"18-74","Patient and Family Related Reasons",31,1
"S12000026",2019-08-01,"18-74","Code 9 AWI",84,3
"S12000026",2019-08-01,"18-74","Code 9 Non-AWI",0,0
"S12000026",2019-08-01,"75plus","All Delay Reasons",796,26
"S12000026",2019-08-01,"75plus","Health and Social Care Reasons",653,21
"S12000026",2019-08-01,"75plus","Patient and Family Related Reasons",49,2
"S12000026",2019-08-01,"75plus","Code 9 AWI",94,3
"S12000026",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000027",2019-08-01,"18plus","All Delay Reasons",128,4
"S12000027",2019-08-01,"18plus","Health and Social Care Reasons",125,4
"S12000027",2019-08-01,"18plus","Patient and Family Related Reasons",3,0
"S12000027",2019-08-01,"18plus","Code 9 AWI",0,0
"S12000027",2019-08-01,"18plus","Code 9 Non-AWI",0,0
"S12000027",2019-08-01,"18-74","All Delay Reasons",22,1
"S12000027",2019-08-01,"18-74","Health and Social Care Reasons",19,1
"S12000027",2019-08-01,"18-74","Patient and Family Related Reasons",3,0
"S12000027",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000027",2019-08-01,"18-74","Code 9 Non-AWI",0,0
"S12000027",2019-08-01,"75plus","All Delay Reasons",106,3
"S12000027",2019-08-01,"75plus","Health and Social Care Reasons",106,3
"S12000027",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000027",2019-08-01,"75plus","Code 9 AWI",0,0
"S12000027",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000028",2019-08-01,"18plus","All Delay Reasons",2980,96
"S12000028",2019-08-01,"18plus","Health and Social Care Reasons",2509,81
"S12000028",2019-08-01,"18plus","Patient and Family Related Reasons",0,0
"S12000028",2019-08-01,"18plus","Code 9 AWI",435,14
"S12000028",2019-08-01,"18plus","Code 9 Non-AWI",36,1
"S12000028",2019-08-01,"18-74","All Delay Reasons",719,23
"S12000028",2019-08-01,"18-74","Health and Social Care Reasons",590,19
"S12000028",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000028",2019-08-01,"18-74","Code 9 AWI",124,4
"S12000028",2019-08-01,"18-74","Code 9 Non-AWI",5,0
"S12000028",2019-08-01,"75plus","All Delay Reasons",2261,73
"S12000028",2019-08-01,"75plus","Health and Social Care Reasons",1919,62
"S12000028",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000028",2019-08-01,"75plus","Code 9 AWI",311,10
"S12000028",2019-08-01,"75plus","Code 9 Non-AWI",31,1
"S12000029",2019-08-01,"18plus","All Delay Reasons",3972,128
"S12000029",2019-08-01,"18plus","Health and Social Care Reasons",3251,105
"S12000029",2019-08-01,"18plus","Patient and Family Related Reasons",37,1
"S12000029",2019-08-01,"18plus","Code 9 AWI",497,16
"S12000029",2019-08-01,"18plus","Code 9 Non-AWI",187,6
"S12000029",2019-08-01,"18-74","All Delay Reasons",1404,45
"S12000029",2019-08-01,"18-74","Health and Social Care Reasons",983,32
"S12000029",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000029",2019-08-01,"18-74","Code 9 AWI",234,8
"S12000029",2019-08-01,"18-74","Code 9 Non-AWI",187,6
"S12000029",2019-08-01,"75plus","All Delay Reasons",2568,83
"S12000029",2019-08-01,"75plus","Health and Social Care Reasons",2268,73
"S12000029",2019-08-01,"75plus","Patient and Family Related Reasons",37,1
"S12000029",2019-08-01,"75plus","Code 9 AWI",263,8
"S12000029",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000030",2019-08-01,"18plus","All Delay Reasons",859,28
"S12000030",2019-08-01,"18plus","Health and Social Care Reasons",621,20
"S12000030",2019-08-01,"18plus","Patient and Family Related Reasons",21,1
"S12000030",2019-08-01,"18plus","Code 9 AWI",124,4
"S12000030",2019-08-01,"18plus","Code 9 Non-AWI",93,3
"S12000030",2019-08-01,"18-74","All Delay Reasons",303,10
"S12000030",2019-08-01,"18-74","Health and Social Care Reasons",148,5
"S12000030",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000030",2019-08-01,"18-74","Code 9 AWI",62,2
"S12000030",2019-08-01,"18-74","Code 9 Non-AWI",93,3
"S12000030",2019-08-01,"75plus","All Delay Reasons",556,18
"S12000030",2019-08-01,"75plus","Health and Social Care Reasons",473,15
"S12000030",2019-08-01,"75plus","Patient and Family Related Reasons",21,1
"S12000030",2019-08-01,"75plus","Code 9 AWI",62,2
"S12000030",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000033",2019-08-01,"18plus","All Delay Reasons",1039,34
"S12000033",2019-08-01,"18plus","Health and Social Care Reasons",985,32
"S12000033",2019-08-01,"18plus","Patient and Family Related Reasons",0,0
"S12000033",2019-08-01,"18plus","Code 9 AWI",54,2
"S12000033",2019-08-01,"18plus","Code 9 Non-AWI",0,0
"S12000033",2019-08-01,"18-74","All Delay Reasons",282,9
"S12000033",2019-08-01,"18-74","Health and Social Care Reasons",282,9
"S12000033",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000033",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000033",2019-08-01,"18-74","Code 9 Non-AWI",0,0
"S12000033",2019-08-01,"75plus","All Delay Reasons",757,24
"S12000033",2019-08-01,"75plus","Health and Social Care Reasons",703,23
"S12000033",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000033",2019-08-01,"75plus","Code 9 AWI",54,2
"S12000033",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000034",2019-08-01,"18plus","All Delay Reasons",1350,44
"S12000034",2019-08-01,"18plus","Health and Social Care Reasons",903,29
"S12000034",2019-08-01,"18plus","Patient and Family Related Reasons",44,1
"S12000034",2019-08-01,"18plus","Code 9 AWI",279,9
"S12000034",2019-08-01,"18plus","Code 9 Non-AWI",124,4
"S12000034",2019-08-01,"18-74","All Delay Reasons",456,15
"S12000034",2019-08-01,"18-74","Health and Social Care Reasons",204,7
"S12000034",2019-08-01,"18-74","Patient and Family Related Reasons",4,0
"S12000034",2019-08-01,"18-74","Code 9 AWI",124,4
"S12000034",2019-08-01,"18-74","Code 9 Non-AWI",124,4
"S12000034",2019-08-01,"75plus","All Delay Reasons",894,29
"S12000034",2019-08-01,"75plus","Health and Social Care Reasons",699,23
"S12000034",2019-08-01,"75plus","Patient and Family Related Reasons",40,1
"S12000034",2019-08-01,"75plus","Code 9 AWI",155,5
"S12000034",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000035",2019-08-01,"18plus","All Delay Reasons",652,21
"S12000035",2019-08-01,"18plus","Health and Social Care Reasons",497,16
"S12000035",2019-08-01,"18plus","Patient and Family Related Reasons",35,1
"S12000035",2019-08-01,"18plus","Code 9 AWI",120,4
"S12000035",2019-08-01,"18plus","Code 9 Non-AWI",0,0
"S12000035",2019-08-01,"18-74","All Delay Reasons",144,5
"S12000035",2019-08-01,"18-74","Health and Social Care Reasons",82,3
"S12000035",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000035",2019-08-01,"18-74","Code 9 AWI",62,2
"S12000035",2019-08-01,"18-74","Code 9 Non-AWI",0,0
"S12000035",2019-08-01,"75plus","All Delay Reasons",508,16
"S12000035",2019-08-01,"75plus","Health and Social Care Reasons",415,13
"S12000035",2019-08-01,"75plus","Patient and Family Related Reasons",35,1
"S12000035",2019-08-01,"75plus","Code 9 AWI",58,2
"S12000035",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000036",2019-08-01,"18plus","All Delay Reasons",5893,190
"S12000036",2019-08-01,"18plus","Health and Social Care Reasons",4825,156
"S12000036",2019-08-01,"18plus","Patient and Family Related Reasons",214,7
"S12000036",2019-08-01,"18plus","Code 9 AWI",811,26
"S12000036",2019-08-01,"18plus","Code 9 Non-AWI",43,1
"S12000036",2019-08-01,"18-74","All Delay Reasons",1690,55
"S12000036",2019-08-01,"18-74","Health and Social Care Reasons",1258,41
"S12000036",2019-08-01,"18-74","Patient and Family Related Reasons",46,1
"S12000036",2019-08-01,"18-74","Code 9 AWI",345,11
"S12000036",2019-08-01,"18-74","Code 9 Non-AWI",41,1
"S12000036",2019-08-01,"75plus","All Delay Reasons",4203,136
"S12000036",2019-08-01,"75plus","Health and Social Care Reasons",3567,115
"S12000036",2019-08-01,"75plus","Patient and Family Related Reasons",168,5
"S12000036",2019-08-01,"75plus","Code 9 AWI",466,15
"S12000036",2019-08-01,"75plus","Code 9 Non-AWI",2,0
"S12000038",2019-08-01,"18plus","All Delay Reasons",764,25
"S12000038",2019-08-01,"18plus","Health and Social Care Reasons",656,21
"S12000038",2019-08-01,"18plus","Patient and Family Related Reasons",38,1
"S12000038",2019-08-01,"18plus","Code 9 AWI",8,0
"S12000038",2019-08-01,"18plus","Code 9 Non-AWI",62,2
"S12000038",2019-08-01,"18-74","All Delay Reasons",240,8
"S12000038",2019-08-01,"18-74","Health and Social Care Reasons",147,5
"S12000038",2019-08-01,"18-74","Patient and Family Related Reasons",31,1
"S12000038",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000038",2019-08-01,"18-74","Code 9 Non-AWI",62,2
"S12000038",2019-08-01,"75plus","All Delay Reasons",524,17
"S12000038",2019-08-01,"75plus","Health and Social Care Reasons",509,16
"S12000038",2019-08-01,"75plus","Patient and Family Related Reasons",7,0
"S12000038",2019-08-01,"75plus","Code 9 AWI",8,0
"S12000038",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000039",2019-08-01,"18plus","All Delay Reasons",345,11
"S12000039",2019-08-01,"18plus","Health and Social Care Reasons",314,10
"S12000039",2019-08-01,"18plus","Patient and Family Related Reasons",0,0
"S12000039",2019-08-01,"18plus","Code 9 AWI",0,0
"S12000039",2019-08-01,"18plus","Code 9 Non-AWI",31,1
"S12000039",2019-08-01,"18-74","All Delay Reasons",116,4
"S12000039",2019-08-01,"18-74","Health and Social Care Reasons",85,3
"S12000039",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000039",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000039",2019-08-01,"18-74","Code 9 Non-AWI",31,1
"S12000039",2019-08-01,"75plus","All Delay Reasons",229,7
"S12000039",2019-08-01,"75plus","Health and Social Care Reasons",229,7
"S12000039",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000039",2019-08-01,"75plus","Code 9 AWI",0,0
"S12000039",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000040",2019-08-01,"18plus","All Delay Reasons",1257,41
"S12000040",2019-08-01,"18plus","Health and Social Care Reasons",1067,34
"S12000040",2019-08-01,"18plus","Patient and Family Related Reasons",5,0
"S12000040",2019-08-01,"18plus","Code 9 AWI",127,4
"S12000040",2019-08-01,"18plus","Code 9 Non-AWI",58,2
"S12000040",2019-08-01,"18-74","All Delay Reasons",301,10
"S12000040",2019-08-01,"18-74","Health and Social Care Reasons",270,9
"S12000040",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000040",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000040",2019-08-01,"18-74","Code 9 Non-AWI",31,1
"S12000040",2019-08-01,"75plus","All Delay Reasons",956,31
"S12000040",2019-08-01,"75plus","Health and Social Care Reasons",797,26
"S12000040",2019-08-01,"75plus","Patient and Family Related Reasons",5,0
"S12000040",2019-08-01,"75plus","Code 9 AWI",127,4
"S12000040",2019-08-01,"75plus","Code 9 Non-AWI",27,1
"S12000041",2019-08-01,"18plus","All Delay Reasons",424,14
"S12000041",2019-08-01,"18plus","Health and Social Care Reasons",393,13
"S12000041",2019-08-01,"18plus","Patient and Family Related Reasons",0,0
"S12000041",2019-08-01,"18plus","Code 9 AWI",0,0
"S12000041",2019-08-01,"18plus","Code 9 Non-AWI",31,1
"S12000041",2019-08-01,"18-74","All Delay Reasons",274,9
"S12000041",2019-08-01,"18-74","Health and Social Care Reasons",243,8
"S12000041",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000041",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000041",2019-08-01,"18-74","Code 9 Non-AWI",31,1
"S12000041",2019-08-01,"75plus","All Delay Reasons",150,5
"S12000041",2019-08-01,"75plus","Health and Social Care Reasons",150,5
"S12000041",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000041",2019-08-01,"75plus","Code 9 AWI",0,0
"S12000041",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000042",2019-08-01,"18plus","All Delay Reasons",788,25
"S12000042",2019-08-01,"18plus","Health and Social Care Reasons",479,15
"S12000042",2019-08-01,"18plus","Patient and Family Related Reasons",6,0
"S12000042",2019-08-01,"18plus","Code 9 AWI",81,3
"S12000042",2019-08-01,"18plus","Code 9 Non-AWI",222,7
"S12000042",2019-08-01,"18-74","All Delay Reasons",408,13
"S12000042",2019-08-01,"18-74","Health and Social Care Reasons",139,4
"S12000042",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000042",2019-08-01,"18-74","Code 9 AWI",48,2
"S12000042",2019-08-01,"18-74","Code 9 Non-AWI",221,7
"S12000042",2019-08-01,"75plus","All Delay Reasons",380,12
"S12000042",2019-08-01,"75plus","Health and Social Care Reasons",340,11
"S12000042",2019-08-01,"75plus","Patient and Family Related Reasons",6,0
"S12000042",2019-08-01,"75plus","Code 9 AWI",33,1
"S12000042",2019-08-01,"75plus","Code 9 Non-AWI",1,0
"S12000045",2019-08-01,"18plus","All Delay Reasons",459,15
"S12000045",2019-08-01,"18plus","Health and Social Care Reasons",315,10
"S12000045",2019-08-01,"18plus","Patient and Family Related Reasons",51,2
"S12000045",2019-08-01,"18plus","Code 9 AWI",31,1
"S12000045",2019-08-01,"18plus","Code 9 Non-AWI",62,2
"S12000045",2019-08-01,"18-74","All Delay Reasons",117,4
"S12000045",2019-08-01,"18-74","Health and Social Care Reasons",55,2
"S12000045",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000045",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000045",2019-08-01,"18-74","Code 9 Non-AWI",62,2
"S12000045",2019-08-01,"75plus","All Delay Reasons",342,11
"S12000045",2019-08-01,"75plus","Health and Social Care Reasons",260,8
"S12000045",2019-08-01,"75plus","Patient and Family Related Reasons",51,2
"S12000045",2019-08-01,"75plus","Code 9 AWI",31,1
"S12000045",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000047",2019-08-01,"18plus","All Delay Reasons",3692,119
"S12000047",2019-08-01,"18plus","Health and Social Care Reasons",2575,83
"S12000047",2019-08-01,"18plus","Patient and Family Related Reasons",7,0
"S12000047",2019-08-01,"18plus","Code 9 AWI",826,27
"S12000047",2019-08-01,"18plus","Code 9 Non-AWI",284,9
"S12000047",2019-08-01,"18-74","All Delay Reasons",1762,57
"S12000047",2019-08-01,"18-74","Health and Social Care Reasons",1065,34
"S12000047",2019-08-01,"18-74","Patient and Family Related Reasons",7,0
"S12000047",2019-08-01,"18-74","Code 9 AWI",425,14
"S12000047",2019-08-01,"18-74","Code 9 Non-AWI",265,9
"S12000047",2019-08-01,"75plus","All Delay Reasons",1930,62
"S12000047",2019-08-01,"75plus","Health and Social Care Reasons",1510,49
"S12000047",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000047",2019-08-01,"75plus","Code 9 AWI",401,13
"S12000047",2019-08-01,"75plus","Code 9 Non-AWI",19,1
"S12000048",2019-08-01,"18plus","All Delay Reasons",960,31
"S12000048",2019-08-01,"18plus","Health and Social Care Reasons",777,25
"S12000048",2019-08-01,"18plus","Patient and Family Related Reasons",12,0
"S12000048",2019-08-01,"18plus","Code 9 AWI",78,3
"S12000048",2019-08-01,"18plus","Code 9 Non-AWI",93,3
"S12000048",2019-08-01,"18-74","All Delay Reasons",277,9
"S12000048",2019-08-01,"18-74","Health and Social Care Reasons",184,6
"S12000048",2019-08-01,"18-74","Patient and Family Related Reasons",0,0
"S12000048",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000048",2019-08-01,"18-74","Code 9 Non-AWI",93,3
"S12000048",2019-08-01,"75plus","All Delay Reasons",683,22
"S12000048",2019-08-01,"75plus","Health and Social Care Reasons",593,19
"S12000048",2019-08-01,"75plus","Patient and Family Related Reasons",12,0
"S12000048",2019-08-01,"75plus","Code 9 AWI",78,3
"S12000048",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000049",2019-08-01,"18plus","All Delay Reasons",3723,120
"S12000049",2019-08-01,"18plus","Health and Social Care Reasons",2024,65
"S12000049",2019-08-01,"18plus","Patient and Family Related Reasons",241,8
"S12000049",2019-08-01,"18plus","Code 9 AWI",1155,37
"S12000049",2019-08-01,"18plus","Code 9 Non-AWI",303,10
"S12000049",2019-08-01,"18-74","All Delay Reasons",1926,62
"S12000049",2019-08-01,"18-74","Health and Social Care Reasons",1012,33
"S12000049",2019-08-01,"18-74","Patient and Family Related Reasons",26,1
"S12000049",2019-08-01,"18-74","Code 9 AWI",585,19
"S12000049",2019-08-01,"18-74","Code 9 Non-AWI",303,10
"S12000049",2019-08-01,"75plus","All Delay Reasons",1797,58
"S12000049",2019-08-01,"75plus","Health and Social Care Reasons",1012,33
"S12000049",2019-08-01,"75plus","Patient and Family Related Reasons",215,7
"S12000049",2019-08-01,"75plus","Code 9 AWI",570,18
"S12000049",2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S12000050",2019-08-01,"18plus","All Delay Reasons",3608,116
"S12000050",2019-08-01,"18plus","Health and Social Care Reasons",3216,104
"S12000050",2019-08-01,"18plus","Patient and Family Related Reasons",31,1
"S12000050",2019-08-01,"18plus","Code 9 AWI",226,7
"S12000050",2019-08-01,"18plus","Code 9 Non-AWI",135,4
"S12000050",2019-08-01,"18-74","All Delay Reasons",975,31
"S12000050",2019-08-01,"18-74","Health and Social Care Reasons",809,26
"S12000050",2019-08-01,"18-74","Patient and Family Related Reasons",31,1
"S12000050",2019-08-01,"18-74","Code 9 AWI",0,0
"S12000050",2019-08-01,"18-74","Code 9 Non-AWI",135,4
"S12000050",2019-08-01,"75plus","All Delay Reasons",2633,85
"S12000050",2019-08-01,"75plus","Health and Social Care Reasons",2407,78
"S12000050",2019-08-01,"75plus","Patient and Family Related Reasons",0,0
"S12000050",2019-08-01,"75plus","Code 9 AWI",226,7
"S12000050",2019-08-01,"75plus","Code 9 Non-AWI",0,0
NA,2019-08-01,"18plus","All Delay Reasons",35,1
NA,2019-08-01,"18plus","Health and Social Care Reasons",35,1
NA,2019-08-01,"18plus","Patient and Family Related Reasons",0,0
NA,2019-08-01,"18plus","Code 9 AWI",0,0
NA,2019-08-01,"18plus","Code 9 Non-AWI",0,0
NA,2019-08-01,"18-74","All Delay Reasons",23,1
NA,2019-08-01,"18-74","Health and Social Care Reasons",23,1
NA,2019-08-01,"18-74","Patient and Family Related Reasons",0,0
NA,2019-08-01,"18-74","Code 9 AWI",0,0
NA,2019-08-01,"18-74","Code 9 Non-AWI",0,0
NA,2019-08-01,"75plus","All Delay Reasons",12,0
NA,2019-08-01,"75plus","Health and Social Care Reasons",12,0
NA,2019-08-01,"75plus","Patient and Family Related Reasons",0,0
NA,2019-08-01,"75plus","Code 9 AWI",0,0
NA,2019-08-01,"75plus","Code 9 Non-AWI",0,0
"S92000003",2019-08-01,"18plus","All Delay Reasons",46897,1513
"S92000003",2019-08-01,"18plus","Health and Social Care Reasons",36910,1191
"S92000003",2019-08-01,"18plus","Patient and Family Related Reasons",976,31
"S92000003",2019-08-01,"18plus","Code 9 AWI",6413,207
"S92000003",2019-08-01,"18plus","Code 9 Non-AWI",2598,84
"S92000003",2019-08-01,"18-74","All Delay Reasons",15299,494
"S92000003",2019-08-01,"18-74","Health and Social Care Reasons",10384,335
"S92000003",2019-08-01,"18-74","Patient and Family Related Reasons",227,7
"S92000003",2019-08-01,"18-74","Code 9 AWI",2543,82
"S92000003",2019-08-01,"18-74","Code 9 Non-AWI",2145,69
"S92000003",2019-08-01,"75plus","All Delay Reasons",31598,1019
"S92000003",2019-08-01,"75plus","Health and Social Care Reasons",26526,856
"S92000003",2019-08-01,"75plus","Patient and Family Related Reasons",749,24
"S92000003",2019-08-01,"75plus","Code 9 AWI",3870,125
"S92000003",2019-08-01,"75plus","Code 9 Non-AWI",453,15
"S12000005",2019-09-01,"18plus","All Delay Reasons",212,7
"S12000005",2019-09-01,"18plus","Health and Social Care Reasons",92,3
"S12000005",2019-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000005",2019-09-01,"18plus","Code 9 AWI",0,0
"S12000005",2019-09-01,"18plus","Code 9 Non-AWI",120,4
"S12000005",2019-09-01,"18-74","All Delay Reasons",139,5
"S12000005",2019-09-01,"18-74","Health and Social Care Reasons",19,1
"S12000005",2019-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000005",2019-09-01,"18-74","Code 9 AWI",0,0
"S12000005",2019-09-01,"18-74","Code 9 Non-AWI",120,4
"S12000005",2019-09-01,"75plus","All Delay Reasons",73,2
"S12000005",2019-09-01,"75plus","Health and Social Care Reasons",73,2
"S12000005",2019-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000005",2019-09-01,"75plus","Code 9 AWI",0,0
"S12000005",2019-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000006",2019-09-01,"18plus","All Delay Reasons",1712,57
"S12000006",2019-09-01,"18plus","Health and Social Care Reasons",1372,46
"S12000006",2019-09-01,"18plus","Patient and Family Related Reasons",25,1
"S12000006",2019-09-01,"18plus","Code 9 AWI",230,8
"S12000006",2019-09-01,"18plus","Code 9 Non-AWI",85,3
"S12000006",2019-09-01,"18-74","All Delay Reasons",464,15
"S12000006",2019-09-01,"18-74","Health and Social Care Reasons",348,12
"S12000006",2019-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000006",2019-09-01,"18-74","Code 9 AWI",60,2
"S12000006",2019-09-01,"18-74","Code 9 Non-AWI",56,2
"S12000006",2019-09-01,"75plus","All Delay Reasons",1248,42
"S12000006",2019-09-01,"75plus","Health and Social Care Reasons",1024,34
"S12000006",2019-09-01,"75plus","Patient and Family Related Reasons",25,1
"S12000006",2019-09-01,"75plus","Code 9 AWI",170,6
"S12000006",2019-09-01,"75plus","Code 9 Non-AWI",29,1
"S12000008",2019-09-01,"18plus","All Delay Reasons",252,8
"S12000008",2019-09-01,"18plus","Health and Social Care Reasons",82,3
"S12000008",2019-09-01,"18plus","Patient and Family Related Reasons",9,0
"S12000008",2019-09-01,"18plus","Code 9 AWI",66,2
"S12000008",2019-09-01,"18plus","Code 9 Non-AWI",95,3
"S12000008",2019-09-01,"18-74","All Delay Reasons",97,3
"S12000008",2019-09-01,"18-74","Health and Social Care Reasons",14,0
"S12000008",2019-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000008",2019-09-01,"18-74","Code 9 AWI",36,1
"S12000008",2019-09-01,"18-74","Code 9 Non-AWI",47,2
"S12000008",2019-09-01,"75plus","All Delay Reasons",155,5
"S12000008",2019-09-01,"75plus","Health and Social Care Reasons",68,2
"S12000008",2019-09-01,"75plus","Patient and Family Related Reasons",9,0
"S12000008",2019-09-01,"75plus","Code 9 AWI",30,1
"S12000008",2019-09-01,"75plus","Code 9 Non-AWI",48,2
"S12000010",2019-09-01,"18plus","All Delay Reasons",250,8
"S12000010",2019-09-01,"18plus","Health and Social Care Reasons",220,7
"S12000010",2019-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000010",2019-09-01,"18plus","Code 9 AWI",0,0
"S12000010",2019-09-01,"18plus","Code 9 Non-AWI",30,1
"S12000010",2019-09-01,"18-74","All Delay Reasons",139,5
"S12000010",2019-09-01,"18-74","Health and Social Care Reasons",109,4
"S12000010",2019-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000010",2019-09-01,"18-74","Code 9 AWI",0,0
"S12000010",2019-09-01,"18-74","Code 9 Non-AWI",30,1
"S12000010",2019-09-01,"75plus","All Delay Reasons",111,4
"S12000010",2019-09-01,"75plus","Health and Social Care Reasons",111,4
"S12000010",2019-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000010",2019-09-01,"75plus","Code 9 AWI",0,0
"S12000010",2019-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000011",2019-09-01,"18plus","All Delay Reasons",111,4
"S12000011",2019-09-01,"18plus","Health and Social Care Reasons",111,4
"S12000011",2019-09-01,"18plus","Patient and Family Related Reasons",0,0
"S12000011",2019-09-01,"18plus","Code 9 AWI",0,0
"S12000011",2019-09-01,"18plus","Code 9 Non-AWI",0,0
"S12000011",2019-09-01,"18-74","All Delay Reasons",17,1
"S12000011",2019-09-01,"18-74","Health and Social Care Reasons",17,1
"S12000011",2019-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000011",2019-09-01,"18-74","Code 9 AWI",0,0
"S12000011",2019-09-01,"18-74","Code 9 Non-AWI",0,0
"S12000011",2019-09-01,"75plus","All Delay Reasons",94,3
"S12000011",2019-09-01,"75plus","Health and Social Care Reasons",94,3
"S12000011",2019-09-01,"75plus","Patient and Family Related Reasons",0,0
"S12000011",2019-09-01,"75plus","Code 9 AWI",0,0
"S12000011",2019-09-01,"75plus","Code 9 Non-AWI",0,0
"S12000013",2019-09-01,"18plus","All Delay Reasons",718,24
"S12000013",2019-09-01,"18plus","Health and Social Care Reasons",396,13
"S12000013",2019-09-01,"18plus","Patient and Family Related Reasons",5,0
"S12000013",2019-09-01,"18plus","Code 9 AWI",0,0
"S12000013",2019-09-01,"18plus","Code 9 Non-AWI",317,11
"S12000013",2019-09-01,"18-74","All Delay Reasons",267,9
"S12000013",2019-09-01,"18-74","Health and Social Care Reasons",147,5
"S12000013",2019-09-01,"18-74","Patient and Family Related Reasons",0,0
"S12000013",2019-09-01,"18-74","Code 9 AWI",0,0
"S12000013",2019-09-01,"18-74","Code 9 Non-AWI",120,4
"S12000013",2019-09-01,"75plus","All Delay Reasons",451,15
"S12000013",2019-09-01,"75plus","Health and Social Care Reasons",249,8
"S12000013",2019-09-01,"75plus","Patient and Family Related Reasons",5,0
"S12000013",2019-09-01,"75plus","Code 9 AWI",0,0
"S12000013",2019-09-01,"75plus","Code 9 Non-AWI",197,7
"S12000014",2019-09-01,"18plus","All Delay Reasons",1588,53
"S12000014",2019-09-01,"18plus","Health and Social Care Reasons",1026,34
"S12000014",2019-09-01,"18plus","Patient and Family Related Reasons",21,1
"S12000014",2019-09-01,"18plus","Code 9 AWI",361,12
"S12000014",2019-09-01,"18plus","Code 9 Non-AWI",180,6
