"Time Period","Financial Quarter","Location","Age Group","Measure","Value"
"Financial Quarter","Jan-Mar 2020","Glasgow City","18-64 years","Rate per 1,000 People",1.6
"Financial Quarter","Jan-Mar 2020","Glasgow City","18-64 years","Number of People",660
"Financial Quarter","Jan-Mar 2020","Glasgow City","18-64 years","Number of Hours",56650
"Financial Quarter","Jan-Mar 2020","Glasgow City","65-74 years","Rate per 1,000 People",26
"Financial Quarter","Jan-Mar 2020","Glasgow City","65-74 years","Number of People",1220
"Financial Quarter","Jan-Mar 2020","Glasgow City","65-74 years","Number of Hours",106750
"Financial Quarter","Jan-Mar 2020","Glasgow City","75-84 years","Rate per 1,000 People",94.2
"Financial Quarter","Jan-Mar 2020","Glasgow City","75-84 years","Number of People",2540
"Financial Quarter","Jan-Mar 2020","Glasgow City","75-84 years","Number of Hours",240985
"Financial Quarter","Jan-Mar 2020","Glasgow City","85+ years","Rate per 1,000 People",222.4
"Financial Quarter","Jan-Mar 2020","Glasgow City","85+ years","Number of People",2385
"Financial Quarter","Jan-Mar 2020","Glasgow City","85+ years","Number of Hours",243865
"Financial Quarter","Jan-Mar 2020","Glasgow City","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Glasgow City","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Glasgow City","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Highland","All Ages","Rate per 1,000 People",9
"Financial Quarter","Jan-Mar 2020","Highland","All Ages","Number of People",2120
"Financial Quarter","Jan-Mar 2020","Highland","All Ages","Number of Hours",185960
"Financial Quarter","Jan-Mar 2020","Highland","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Highland","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Highland","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Highland","18-64 years","Rate per 1,000 People",1.5
"Financial Quarter","Jan-Mar 2020","Highland","18-64 years","Number of People",210
"Financial Quarter","Jan-Mar 2020","Highland","18-64 years","Number of Hours",22635
"Financial Quarter","Jan-Mar 2020","Highland","65-74 years","Rate per 1,000 People",10.7
"Financial Quarter","Jan-Mar 2020","Highland","65-74 years","Number of People",320
"Financial Quarter","Jan-Mar 2020","Highland","65-74 years","Number of Hours",31225
"Financial Quarter","Jan-Mar 2020","Highland","75-84 years","Rate per 1,000 People",40.5
"Financial Quarter","Jan-Mar 2020","Highland","75-84 years","Number of People",685
"Financial Quarter","Jan-Mar 2020","Highland","75-84 years","Number of Hours",57185
"Financial Quarter","Jan-Mar 2020","Highland","85+ years","Rate per 1,000 People",145.5
"Financial Quarter","Jan-Mar 2020","Highland","85+ years","Number of People",905
"Financial Quarter","Jan-Mar 2020","Highland","85+ years","Number of Hours",74915
"Financial Quarter","Jan-Mar 2020","Highland","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Highland","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Highland","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Inverclyde","All Ages","Rate per 1,000 People",17.9
"Financial Quarter","Jan-Mar 2020","Inverclyde","All Ages","Number of People",1420
"Financial Quarter","Jan-Mar 2020","Inverclyde","All Ages","Number of Hours",114450
"Financial Quarter","Jan-Mar 2020","Inverclyde","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Inverclyde","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Inverclyde","0-17 years","Number of Hours",10
"Financial Quarter","Jan-Mar 2020","Inverclyde","18-64 years","Rate per 1,000 People",3.4
"Financial Quarter","Jan-Mar 2020","Inverclyde","18-64 years","Number of People",165
"Financial Quarter","Jan-Mar 2020","Inverclyde","18-64 years","Number of Hours",15240
"Financial Quarter","Jan-Mar 2020","Inverclyde","65-74 years","Rate per 1,000 People",27.5
"Financial Quarter","Jan-Mar 2020","Inverclyde","65-74 years","Number of People",255
"Financial Quarter","Jan-Mar 2020","Inverclyde","65-74 years","Number of Hours",19290
"Financial Quarter","Jan-Mar 2020","Inverclyde","75-84 years","Rate per 1,000 People",93.6
"Financial Quarter","Jan-Mar 2020","Inverclyde","75-84 years","Number of People",520
"Financial Quarter","Jan-Mar 2020","Inverclyde","75-84 years","Number of Hours",39530
"Financial Quarter","Jan-Mar 2020","Inverclyde","85+ years","Rate per 1,000 People",228.7
"Financial Quarter","Jan-Mar 2020","Inverclyde","85+ years","Number of People",480
"Financial Quarter","Jan-Mar 2020","Inverclyde","85+ years","Number of Hours",40380
"Financial Quarter","Jan-Mar 2020","Inverclyde","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Inverclyde","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Inverclyde","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Midlothian","All Ages","Rate per 1,000 People",10.8
"Financial Quarter","Jan-Mar 2020","Midlothian","All Ages","Number of People",1005
"Financial Quarter","Jan-Mar 2020","Midlothian","All Ages","Number of Hours",187260
"Financial Quarter","Jan-Mar 2020","Midlothian","0-17 years","Rate per 1,000 People",0.3
"Financial Quarter","Jan-Mar 2020","Midlothian","0-17 years","Number of People",5
"Financial Quarter","Jan-Mar 2020","Midlothian","0-17 years","Number of Hours",105
"Financial Quarter","Jan-Mar 2020","Midlothian","18-64 years","Rate per 1,000 People",5.3
"Financial Quarter","Jan-Mar 2020","Midlothian","18-64 years","Number of People",300
"Financial Quarter","Jan-Mar 2020","Midlothian","18-64 years","Number of Hours",104460
"Financial Quarter","Jan-Mar 2020","Midlothian","65-74 years","Rate per 1,000 People",17.2
"Financial Quarter","Jan-Mar 2020","Midlothian","65-74 years","Number of People",175
"Financial Quarter","Jan-Mar 2020","Midlothian","65-74 years","Number of Hours",25280
"Financial Quarter","Jan-Mar 2020","Midlothian","75-84 years","Rate per 1,000 People",49
"Financial Quarter","Jan-Mar 2020","Midlothian","75-84 years","Number of People",275
"Financial Quarter","Jan-Mar 2020","Midlothian","75-84 years","Number of Hours",30190
"Financial Quarter","Jan-Mar 2020","Midlothian","85+ years","Rate per 1,000 People",139.7
"Financial Quarter","Jan-Mar 2020","Midlothian","85+ years","Number of People",250
"Financial Quarter","Jan-Mar 2020","Midlothian","85+ years","Number of Hours",27225
"Financial Quarter","Jan-Mar 2020","Midlothian","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Midlothian","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Midlothian","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Moray","All Ages","Rate per 1,000 People",11.7
"Financial Quarter","Jan-Mar 2020","Moray","All Ages","Number of People",1105
"Financial Quarter","Jan-Mar 2020","Moray","All Ages","Number of Hours",131875
"Financial Quarter","Jan-Mar 2020","Moray","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Moray","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Moray","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Moray","18-64 years","Rate per 1,000 People",3.9
"Financial Quarter","Jan-Mar 2020","Moray","18-64 years","Number of People",220
"Financial Quarter","Jan-Mar 2020","Moray","18-64 years","Number of Hours",42170
"Financial Quarter","Jan-Mar 2020","Moray","65-74 years","Rate per 1,000 People",14.2
"Financial Quarter","Jan-Mar 2020","Moray","65-74 years","Number of People",160
"Financial Quarter","Jan-Mar 2020","Moray","65-74 years","Number of Hours",23155
"Financial Quarter","Jan-Mar 2020","Moray","75-84 years","Rate per 1,000 People",46.6
"Financial Quarter","Jan-Mar 2020","Moray","75-84 years","Number of People",315
"Financial Quarter","Jan-Mar 2020","Moray","75-84 years","Number of Hours",27570
"Financial Quarter","Jan-Mar 2020","Moray","85+ years","Rate per 1,000 People",166
"Financial Quarter","Jan-Mar 2020","Moray","85+ years","Number of People",410
"Financial Quarter","Jan-Mar 2020","Moray","85+ years","Number of Hours",38980
"Financial Quarter","Jan-Mar 2020","Moray","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Moray","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Moray","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","North Ayrshire","All Ages","Rate per 1,000 People",19.8
"Financial Quarter","Jan-Mar 2020","North Ayrshire","All Ages","Number of People",2660
"Financial Quarter","Jan-Mar 2020","North Ayrshire","All Ages","Number of Hours",394885
"Financial Quarter","Jan-Mar 2020","North Ayrshire","0-17 years","Rate per 1,000 People",0.2
"Financial Quarter","Jan-Mar 2020","North Ayrshire","0-17 years","Number of People",5
"Financial Quarter","Jan-Mar 2020","North Ayrshire","0-17 years","Number of Hours",790
"Financial Quarter","Jan-Mar 2020","North Ayrshire","18-64 years","Rate per 1,000 People",7.7
"Financial Quarter","Jan-Mar 2020","North Ayrshire","18-64 years","Number of People",605
"Financial Quarter","Jan-Mar 2020","North Ayrshire","18-64 years","Number of Hours",202970
"Financial Quarter","Jan-Mar 2020","North Ayrshire","65-74 years","Rate per 1,000 People",25.4
"Financial Quarter","Jan-Mar 2020","North Ayrshire","65-74 years","Number of People",440
"Financial Quarter","Jan-Mar 2020","North Ayrshire","65-74 years","Number of Hours",50030
"Financial Quarter","Jan-Mar 2020","North Ayrshire","75-84 years","Rate per 1,000 People",85.6
"Financial Quarter","Jan-Mar 2020","North Ayrshire","75-84 years","Number of People",850
"Financial Quarter","Jan-Mar 2020","North Ayrshire","75-84 years","Number of Hours",70240
"Financial Quarter","Jan-Mar 2020","North Ayrshire","85+ years","Rate per 1,000 People",225.6
"Financial Quarter","Jan-Mar 2020","North Ayrshire","85+ years","Number of People",760
"Financial Quarter","Jan-Mar 2020","North Ayrshire","85+ years","Number of Hours",70855
"Financial Quarter","Jan-Mar 2020","North Ayrshire","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","North Ayrshire","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","North Ayrshire","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","All Ages","Rate per 1,000 People",12
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","All Ages","Number of People",4105
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","All Ages","Number of Hours",376130
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","0-17 years","Rate per 1,000 People",0.1
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","0-17 years","Number of People",5
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","0-17 years","Number of Hours",450
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","18-64 years","Rate per 1,000 People",2.2
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","18-64 years","Number of People",460
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","18-64 years","Number of Hours",39210
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","65-74 years","Rate per 1,000 People",22.6
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","65-74 years","Number of People",765
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","65-74 years","Number of Hours",68225
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","75-84 years","Rate per 1,000 People",82.7
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","75-84 years","Number of People",1585
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","75-84 years","Number of Hours",139575
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","85+ years","Rate per 1,000 People",221.7
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","85+ years","Number of People",1290
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","85+ years","Number of Hours",128670
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","North Lanarkshire","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Orkney Islands","All Ages","Rate per 1,000 People",9.6
"Financial Quarter","Jan-Mar 2020","Orkney Islands","All Ages","Number of People",210
"Financial Quarter","Jan-Mar 2020","Orkney Islands","All Ages","Number of Hours",21325
"Financial Quarter","Jan-Mar 2020","Orkney Islands","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Orkney Islands","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Orkney Islands","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Orkney Islands","18-64 years","Rate per 1,000 People",1.6
"Financial Quarter","Jan-Mar 2020","Orkney Islands","18-64 years","Number of People",20
"Financial Quarter","Jan-Mar 2020","Orkney Islands","18-64 years","Number of Hours",2635
"Financial Quarter","Jan-Mar 2020","Orkney Islands","65-74 years","Rate per 1,000 People",8.8
"Financial Quarter","Jan-Mar 2020","Orkney Islands","65-74 years","Number of People",25
"Financial Quarter","Jan-Mar 2020","Orkney Islands","65-74 years","Number of Hours",3575
"Financial Quarter","Jan-Mar 2020","Orkney Islands","75-84 years","Rate per 1,000 People",36.7
"Financial Quarter","Jan-Mar 2020","Orkney Islands","75-84 years","Number of People",65
"Financial Quarter","Jan-Mar 2020","Orkney Islands","75-84 years","Number of Hours",5160
"Financial Quarter","Jan-Mar 2020","Orkney Islands","85+ years","Rate per 1,000 People",166.1
"Financial Quarter","Jan-Mar 2020","Orkney Islands","85+ years","Number of People",100
"Financial Quarter","Jan-Mar 2020","Orkney Islands","85+ years","Number of Hours",9955
"Financial Quarter","Jan-Mar 2020","Orkney Islands","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Orkney Islands","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Orkney Islands","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","All Ages","Rate per 1,000 People",12.9
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","All Ages","Number of People",1930
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","All Ages","Number of Hours",269575
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","0-17 years","Number of Hours",490
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","18-64 years","Rate per 1,000 People",3.6
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","18-64 years","Number of People",315
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","18-64 years","Number of Hours",111715
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","65-74 years","Rate per 1,000 People",14
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","65-74 years","Number of People",270
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","65-74 years","Number of Hours",32110
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","75-84 years","Rate per 1,000 People",47.2
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","75-84 years","Number of People",550
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","75-84 years","Number of Hours",48100
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","85+ years","Rate per 1,000 People",164.3
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","85+ years","Number of People",795
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","85+ years","Number of Hours",77160
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Perth and Kinross","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Renfrewshire","All Ages","Rate per 1,000 People",13.7
"Financial Quarter","Jan-Mar 2020","Renfrewshire","All Ages","Number of People",2490
"Financial Quarter","Jan-Mar 2020","Renfrewshire","All Ages","Number of Hours",432800
"Financial Quarter","Jan-Mar 2020","Renfrewshire","0-17 years","Rate per 1,000 People",0.1
"Financial Quarter","Jan-Mar 2020","Renfrewshire","0-17 years","Number of People",5
"Financial Quarter","Jan-Mar 2020","Renfrewshire","0-17 years","Number of Hours",285
"Financial Quarter","Jan-Mar 2020","Renfrewshire","18-64 years","Rate per 1,000 People",5
"Financial Quarter","Jan-Mar 2020","Renfrewshire","18-64 years","Number of People",560
"Financial Quarter","Jan-Mar 2020","Renfrewshire","18-64 years","Number of Hours",243500
"Financial Quarter","Jan-Mar 2020","Renfrewshire","65-74 years","Rate per 1,000 People",20.1
"Financial Quarter","Jan-Mar 2020","Renfrewshire","65-74 years","Number of People",385
"Financial Quarter","Jan-Mar 2020","Renfrewshire","65-74 years","Number of Hours",56540
"Financial Quarter","Jan-Mar 2020","Renfrewshire","75-84 years","Rate per 1,000 People",70.4
"Financial Quarter","Jan-Mar 2020","Renfrewshire","75-84 years","Number of People",795
"Financial Quarter","Jan-Mar 2020","Renfrewshire","75-84 years","Number of Hours",71235
"Financial Quarter","Jan-Mar 2020","Renfrewshire","85+ years","Rate per 1,000 People",182.4
"Financial Quarter","Jan-Mar 2020","Renfrewshire","85+ years","Number of People",745
"Financial Quarter","Jan-Mar 2020","Renfrewshire","85+ years","Number of Hours",61240
"Financial Quarter","Jan-Mar 2020","Renfrewshire","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Renfrewshire","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Renfrewshire","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Scottish Borders","All Ages","Rate per 1,000 People",13.6
"Financial Quarter","Jan-Mar 2020","Scottish Borders","All Ages","Number of People",1580
"Financial Quarter","Jan-Mar 2020","Scottish Borders","All Ages","Number of Hours",141210
"Financial Quarter","Jan-Mar 2020","Scottish Borders","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Scottish Borders","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Scottish Borders","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Scottish Borders","18-64 years","Rate per 1,000 People",2.5
"Financial Quarter","Jan-Mar 2020","Scottish Borders","18-64 years","Number of People",165
"Financial Quarter","Jan-Mar 2020","Scottish Borders","18-64 years","Number of Hours",20305
"Financial Quarter","Jan-Mar 2020","Scottish Borders","65-74 years","Rate per 1,000 People",13.6
"Financial Quarter","Jan-Mar 2020","Scottish Borders","65-74 years","Number of People",220
"Financial Quarter","Jan-Mar 2020","Scottish Borders","65-74 years","Number of Hours",20775
"Financial Quarter","Jan-Mar 2020","Scottish Borders","75-84 years","Rate per 1,000 People",55.4
"Financial Quarter","Jan-Mar 2020","Scottish Borders","75-84 years","Number of People",525
"Financial Quarter","Jan-Mar 2020","Scottish Borders","75-84 years","Number of Hours",43615
"Financial Quarter","Jan-Mar 2020","Scottish Borders","85+ years","Rate per 1,000 People",192.7
"Financial Quarter","Jan-Mar 2020","Scottish Borders","85+ years","Number of People",670
"Financial Quarter","Jan-Mar 2020","Scottish Borders","85+ years","Number of Hours",56515
"Financial Quarter","Jan-Mar 2020","Scottish Borders","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Scottish Borders","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Scottish Borders","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Shetland Islands","All Ages","Rate per 1,000 People",18.1
"Financial Quarter","Jan-Mar 2020","Shetland Islands","All Ages","Number of People",415
"Financial Quarter","Jan-Mar 2020","Shetland Islands","All Ages","Number of Hours",40425
"Financial Quarter","Jan-Mar 2020","Shetland Islands","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Shetland Islands","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Shetland Islands","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Shetland Islands","18-64 years","Rate per 1,000 People",7.1
"Financial Quarter","Jan-Mar 2020","Shetland Islands","18-64 years","Number of People",95
"Financial Quarter","Jan-Mar 2020","Shetland Islands","18-64 years","Number of Hours",12725
"Financial Quarter","Jan-Mar 2020","Shetland Islands","65-74 years","Rate per 1,000 People",26.5
"Financial Quarter","Jan-Mar 2020","Shetland Islands","65-74 years","Number of People",70
"Financial Quarter","Jan-Mar 2020","Shetland Islands","65-74 years","Number of Hours",4840
"Financial Quarter","Jan-Mar 2020","Shetland Islands","75-84 years","Rate per 1,000 People",75.4
"Financial Quarter","Jan-Mar 2020","Shetland Islands","75-84 years","Number of People",120
"Financial Quarter","Jan-Mar 2020","Shetland Islands","75-84 years","Number of Hours",10585
"Financial Quarter","Jan-Mar 2020","Shetland Islands","85+ years","Rate per 1,000 People",262.1
"Financial Quarter","Jan-Mar 2020","Shetland Islands","85+ years","Number of People",130
"Financial Quarter","Jan-Mar 2020","Shetland Islands","85+ years","Number of Hours",12275
"Financial Quarter","Jan-Mar 2020","Shetland Islands","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Shetland Islands","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Shetland Islands","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","South Ayrshire","All Ages","Rate per 1,000 People",16.2
"Financial Quarter","Jan-Mar 2020","South Ayrshire","All Ages","Number of People",1810
"Financial Quarter","Jan-Mar 2020","South Ayrshire","All Ages","Number of Hours",398200
"Financial Quarter","Jan-Mar 2020","South Ayrshire","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","South Ayrshire","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","South Ayrshire","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","South Ayrshire","18-64 years","Rate per 1,000 People",6.9
"Financial Quarter","Jan-Mar 2020","South Ayrshire","18-64 years","Number of People",440
"Financial Quarter","Jan-Mar 2020","South Ayrshire","18-64 years","Number of Hours",211190
"Financial Quarter","Jan-Mar 2020","South Ayrshire","65-74 years","Rate per 1,000 People",17.1
"Financial Quarter","Jan-Mar 2020","South Ayrshire","65-74 years","Number of People",265
"Financial Quarter","Jan-Mar 2020","South Ayrshire","65-74 years","Number of Hours",53970
"Financial Quarter","Jan-Mar 2020","South Ayrshire","75-84 years","Rate per 1,000 People",57.9
"Financial Quarter","Jan-Mar 2020","South Ayrshire","75-84 years","Number of People",550
"Financial Quarter","Jan-Mar 2020","South Ayrshire","75-84 years","Number of Hours",68640
"Financial Quarter","Jan-Mar 2020","South Ayrshire","85+ years","Rate per 1,000 People",151.9
"Financial Quarter","Jan-Mar 2020","South Ayrshire","85+ years","Number of People",555
"Financial Quarter","Jan-Mar 2020","South Ayrshire","85+ years","Number of Hours",64400
"Financial Quarter","Jan-Mar 2020","South Ayrshire","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","South Ayrshire","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","South Ayrshire","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","All Ages","Rate per 1,000 People",13
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","All Ages","Number of People",4200
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","All Ages","Number of Hours",568100
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","0-17 years","Rate per 1,000 People",0.6
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","0-17 years","Number of People",35
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","0-17 years","Number of Hours",7355
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","18-64 years","Rate per 1,000 People",3.2
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","18-64 years","Number of People",635
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","18-64 years","Number of Hours",140300
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","65-74 years","Rate per 1,000 People",18
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","65-74 years","Number of People",640
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","65-74 years","Number of Hours",89800
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","75-84 years","Rate per 1,000 People",70.7
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","75-84 years","Number of People",1450
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","75-84 years","Number of Hours",166760
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","85+ years","Rate per 1,000 People",198
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","85+ years","Number of People",1440
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","85+ years","Number of Hours",163885
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","South Lanarkshire","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","Stirling","All Ages","Rate per 1,000 People",14.9
"Financial Quarter","Jan-Mar 2020","Stirling","All Ages","Number of People",1370
"Financial Quarter","Jan-Mar 2020","Stirling","All Ages","Number of Hours",250225
"Financial Quarter","Jan-Mar 2020","Stirling","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Stirling","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","Stirling","0-17 years","Number of Hours",310
"Financial Quarter","Jan-Mar 2020","Stirling","18-64 years","Rate per 1,000 People",7
"Financial Quarter","Jan-Mar 2020","Stirling","18-64 years","Number of People",390
"Financial Quarter","Jan-Mar 2020","Stirling","18-64 years","Number of Hours",140725
"Financial Quarter","Jan-Mar 2020","Stirling","65-74 years","Rate per 1,000 People",16
"Financial Quarter","Jan-Mar 2020","Stirling","65-74 years","Number of People",160
"Financial Quarter","Jan-Mar 2020","Stirling","65-74 years","Number of Hours",26025
"Financial Quarter","Jan-Mar 2020","Stirling","75-84 years","Rate per 1,000 People",65.4
"Financial Quarter","Jan-Mar 2020","Stirling","75-84 years","Number of People",400
"Financial Quarter","Jan-Mar 2020","Stirling","75-84 years","Number of Hours",42630
"Financial Quarter","Jan-Mar 2020","Stirling","85+ years","Rate per 1,000 People",196.5
"Financial Quarter","Jan-Mar 2020","Stirling","85+ years","Number of People",420
"Financial Quarter","Jan-Mar 2020","Stirling","85+ years","Number of Hours",40535
"Financial Quarter","Jan-Mar 2020","Stirling","Unknown","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","Stirling","Unknown","Number of People",0
"Financial Quarter","Jan-Mar 2020","Stirling","Unknown","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","All Ages","Rate per 1,000 People",19.6
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","All Ages","Number of People",1755
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","All Ages","Number of Hours",123275
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","0-17 years","Rate per 1,000 People",0
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","0-17 years","Number of People",0
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","0-17 years","Number of Hours",0
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","18-64 years","Rate per 1,000 People",4.2
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","18-64 years","Number of People",230
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","18-64 years","Number of Hours",16325
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","65-74 years","Rate per 1,000 People",38
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","65-74 years","Number of People",370
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","65-74 years","Number of Hours",21980
"Financial Quarter","Jan-Mar 2020","West Dunbartonshire","75-84 years","Rate per 1,000 People",115.1
