"Date","Month","Year","Trust","Dept","Type","Under 4 Hours","Between 4 - 12 Hours","Over 12 Hours","Total","Percent Under 4 Hours"
"2014-09-01","Sep 2014","2014/15","South Eastern","Bangor MIU","Type 3","961","0","0","961","100.0%"
"2014-09-01","Sep 2014","2014/15","South Eastern","Downe","Type 2","1,418","216","0","1,634","86.8%"
"2014-09-01","Sep 2014","2014/15","South Eastern","Lagan Valley","Type 2","1,732","220","0","1,952","88.7%"
"2014-09-01","Sep 2014","2014/15","South Eastern","Ulster","Type 1","5,490","1,938","28","7,456","73.6%"
"2014-09-01","Sep 2014","2014/15","Southern","Armagh Community","Type 3","681","0","0","681","100.0%"
"2014-09-01","Sep 2014","2014/15","Southern","Craigavon Area","Type 1","5,168","1,262","0","6,430","80.4%"
"2014-09-01","Sep 2014","2014/15","Southern","Daisy Hill","Type 1","3,316","550","0","3,866","85.8%"
"2014-09-01","Sep 2014","2014/15","Southern","South Tyrone","Type 3","2,075","0","0","2,075","100.0%"
"2014-09-01","Sep 2014","2014/15","Western","Altnagelvin Area","Type 1","3,662","1,112","0","4,774","76.7%"
"2014-09-01","Sep 2014","2014/15","Western","South West Acute","Type 1","2,284","80","0","2,364","96.6%"
"2014-09-01","Sep 2014","2014/15","Western","Tyrone County","Type 3","1,382","3","0","1,385","99.8%"
"2014-08-01","Aug 2014","2014/15","Belfast","Mater","Type 1","2,715","1,088","32","3,835","70.8%"
"2014-08-01","Aug 2014","2014/15","Belfast","RVH","Type 1","4,124","2,790","103","7,017","58.8%"
"2014-08-01","Aug 2014","2014/15","Belfast","RVH-RAES","Type 2","1,229","0","0","1,229","100.0%"
"2014-08-01","Aug 2014","2014/15","Belfast","RBHSC","Type 1","2,143","80","0","2,223","96.4%"
"2014-08-01","Aug 2014","2014/15","Northern","Antrim Area","Type 1","3,933","2,091","2","6,026","65.3%"
"2014-08-01","Aug 2014","2014/15","Northern","Causeway","Type 1","2,576","1,258","0","3,834","67.2%"
"2014-08-01","Aug 2014","2014/15","Northern","Mid-Ulster","Type 3","701","0","0","701","100.0%"
"2014-08-01","Aug 2014","2014/15","Northern","Whiteabbey","Type 3","831","1","0","832","99.9%"
"2014-08-01","Aug 2014","2014/15","South Eastern","Ards MIU","Type 3","884","0","0","884","100.0%"
"2014-08-01","Aug 2014","2014/15","South Eastern","Bangor MIU","Type 3","795","0","0","795","100.0%"
"2014-08-01","Aug 2014","2014/15","South Eastern","Downe","Type 2","1,380","127","0","1,507","91.6%"
"2014-08-01","Aug 2014","2014/15","South Eastern","Lagan Valley","Type 2","1,506","212","0","1,718","87.7%"
"2014-08-01","Aug 2014","2014/15","South Eastern","Ulster","Type 1","5,336","1,875","1","7,212","74.0%"
"2014-08-01","Aug 2014","2014/15","Southern","Armagh Community","Type 3","583","0","0","583","100.0%"
"2014-08-01","Aug 2014","2014/15","Southern","Craigavon Area","Type 1","5,003","1,075","0","6,078","82.3%"
"2014-08-01","Aug 2014","2014/15","Southern","Daisy Hill","Type 1","3,209","587","0","3,796","84.5%"
"2014-08-01","Aug 2014","2014/15","Southern","South Tyrone","Type 3","2,053","0","0","2,053","100.0%"
"2014-08-01","Aug 2014","2014/15","Western","Altnagelvin Area","Type 1","3,435","1,078","0","4,513","76.1%"
"2014-08-01","Aug 2014","2014/15","Western","South West Acute","Type 1","2,426","186","0","2,612","92.9%"
"2014-08-01","Aug 2014","2014/15","Western","Tyrone County","Type 3","1,453","2","0","1,455","99.9%"
"2014-07-01","Jul 2014","2014/15","Belfast","Mater","Type 1","3,274","757","3","4,034","81.2%"
"2014-07-01","Jul 2014","2014/15","Belfast","RVH","Type 1","4,713","2,417","37","7,167","65.8%"
"2014-07-01","Jul 2014","2014/15","Belfast","RVH-RAES","Type 2","1,375","0","0","1,375","100.0%"
"2014-07-01","Jul 2014","2014/15","Belfast","RBHSC","Type 1","2,335","181","0","2,516","92.8%"
"2014-07-01","Jul 2014","2014/15","Northern","Antrim Area","Type 1","4,396","2,028","0","6,424","68.4%"
"2014-07-01","Jul 2014","2014/15","Northern","Causeway","Type 1","3,081","1,107","0","4,188","73.6%"
"2014-07-01","Jul 2014","2014/15","Northern","Mid-Ulster","Type 3","794","0","0","794","100.0%"
"2014-07-01","Jul 2014","2014/15","Northern","Whiteabbey","Type 3","815","0","0","815","100.0%"
"2014-07-01","Jul 2014","2014/15","South Eastern","Ards MIU","Type 3","962","0","0","962","100.0%"
"2014-07-01","Jul 2014","2014/15","South Eastern","Bangor MIU","Type 3","940","0","0","940","100.0%"
"2014-07-01","Jul 2014","2014/15","South Eastern","Downe","Type 2","1,481","131","0","1,612","91.9%"
"2014-07-01","Jul 2014","2014/15","South Eastern","Lagan Valley","Type 2","1,585","247","0","1,832","86.5%"
"2014-07-01","Jul 2014","2014/15","South Eastern","Ulster","Type 1","5,949","1,473","1","7,423","80.1%"
"2014-07-01","Jul 2014","2014/15","Southern","Armagh Community","Type 3","684","0","0","684","100.0%"
"2014-07-01","Jul 2014","2014/15","Southern","Craigavon Area","Type 1","5,348","1,196","0","6,544","81.7%"
"2014-07-01","Jul 2014","2014/15","Southern","Daisy Hill","Type 1","3,459","576","0","4,035","85.7%"
"2014-07-01","Jul 2014","2014/15","Southern","South Tyrone","Type 3","2,046","0","0","2,046","100.0%"
"2014-07-01","Jul 2014","2014/15","Western","Altnagelvin Area","Type 1","3,938","918","0","4,856","81.1%"
"2014-07-01","Jul 2014","2014/15","Western","South West Acute","Type 1","2,547","114","0","2,661","95.7%"
"2014-07-01","Jul 2014","2014/15","Western","Tyrone County","Type 3","1,449","1","0","1,450","99.9%"
"2014-06-01","Jun 2014","2014/15","Belfast","Mater","Type 1","3,084","831","34","3,949","78.1%"
"2014-06-01","Jun 2014","2014/15","Belfast","RVH","Type 1","4,067","2,857","189","7,113","57.2%"
"2014-06-01","Jun 2014","2014/15","Belfast","RVH-RAES","Type 2","1,312","0","0","1,312","100.0%"
"2014-06-01","Jun 2014","2014/15","Belfast","RBHSC","Type 1","2,607","337","0","2,944","88.6%"
"2014-06-01","Jun 2014","2014/15","Northern","Antrim Area","Type 1","4,297","2,183","63","6,543","65.7%"
"2014-06-01","Jun 2014","2014/15","Northern","Causeway","Type 1","2,877","790","0","3,667","78.5%"
"2014-06-01","Jun 2014","2014/15","Northern","Mid-Ulster","Type 3","843","0","0","843","100.0%"
"2014-06-01","Jun 2014","2014/15","Northern","Whiteabbey","Type 3","969","3","0","972","99.7%"
"2014-06-01","Jun 2014","2014/15","South Eastern","Ards MIU","Type 3","966","0","0","966","100.0%"
"2014-06-01","Jun 2014","2014/15","South Eastern","Bangor MIU","Type 3","957","1","0","958","99.9%"
"2014-06-01","Jun 2014","2014/15","South Eastern","Downe","Type 2","1,368","142","0","1,510","90.6%"
"2014-06-01","Jun 2014","2014/15","South Eastern","Lagan Valley","Type 2","1,618","290","0","1,908","84.8%"
"2014-06-01","Jun 2014","2014/15","South Eastern","Ulster","Type 1","5,446","1,713","6","7,165","76.0%"
"2014-06-01","Jun 2014","2014/15","Southern","Armagh Community","Type 3","652","0","0","652","100.0%"
"2014-06-01","Jun 2014","2014/15","Southern","Craigavon Area","Type 1","4,838","1,826","1","6,665","72.6%"
"2014-06-01","Jun 2014","2014/15","Southern","Daisy Hill","Type 1","3,298","673","0","3,971","83.1%"
"2014-06-01","Jun 2014","2014/15","Southern","South Tyrone","Type 3","2,251","0","0","2,251","100.0%"
"2014-06-01","Jun 2014","2014/15","Western","Altnagelvin Area","Type 1","3,833","855","0","4,688","81.8%"
"2014-06-01","Jun 2014","2014/15","Western","South West Acute","Type 1","2,353","231","0","2,584","91.1%"
"2014-06-01","Jun 2014","2014/15","Western","Tyrone County","Type 3","1,530","2","0","1,532","99.9%"
"2014-05-01","May 2014","2014/15","Belfast","Mater","Type 1","2,828","955","9","3,792","74.6%"
"2014-05-01","May 2014","2014/15","Belfast","RVH","Type 1","4,193","2,881","74","7,148","58.7%"
"2014-05-01","May 2014","2014/15","Belfast","RVH-RAES","Type 2","1,322","0","0","1,322","100.0%"
"2014-05-01","May 2014","2014/15","Belfast","RBHSC","Type 1","2,561","399","0","2,960","86.5%"
"2014-05-01","May 2014","2014/15","Northern","Antrim Area","Type 1","3,947","2,559","118","6,624","59.6%"
"2014-05-01","May 2014","2014/15","Northern","Causeway","Type 1","2,943","906","0","3,849","76.5%"
"2014-05-01","May 2014","2014/15","Northern","Mid-Ulster","Type 3","764","0","0","764","100.0%"
"2014-05-01","May 2014","2014/15","Northern","Whiteabbey","Type 3","771","0","0","771","100.0%"
"2014-05-01","May 2014","2014/15","South Eastern","Ards MIU","Type 3","850","0","0","850","100.0%"
"2014-05-01","May 2014","2014/15","South Eastern","Bangor MIU","Type 3","873","0","0","873","100.0%"
"2014-05-01","May 2014","2014/15","South Eastern","Downe","Type 2","1,388","142","1","1,531","90.7%"
"2014-05-01","May 2014","2014/15","South Eastern","Lagan Valley","Type 2","1,585","284","0","1,869","84.8%"
"2014-05-01","May 2014","2014/15","South Eastern","Ulster","Type 1","5,218","1,988","1","7,207","72.4%"
"2014-05-01","May 2014","2014/15","Southern","Armagh Community","Type 3","634","0","0","634","100.0%"
"2014-05-01","May 2014","2014/15","Southern","Craigavon Area","Type 1","4,986","1,517","0","6,503","76.7%"
"2014-05-01","May 2014","2014/15","Southern","Daisy Hill","Type 1","3,318","522","0","3,840","86.4%"
"2014-05-01","May 2014","2014/15","Southern","South Tyrone","Type 3","1,944","1","0","1,945","99.9%"
"2014-05-01","May 2014","2014/15","Western","Altnagelvin Area","Type 1","3,337","1,435","0","4,772","69.9%"
"2014-05-01","May 2014","2014/15","Western","South West Acute","Type 1","2,367","269","0","2,636","89.8%"
"2014-05-01","May 2014","2014/15","Western","Tyrone County","Type 3","1,455","1","0","1,456","99.9%"
"2014-04-01","Apr 2014","2014/15","Belfast","Mater","Type 1","2,605","1,060","11","3,676","70.9%"
"2014-04-01","Apr 2014","2014/15","Belfast","RVH","Type 1","4,233","2,429","78","6,740","62.8%"
"2014-04-01","Apr 2014","2014/15","Belfast","RVH-RAES","Type 2","1,278","0","0","1,278","100.0%"
"2014-04-01","Apr 2014","2014/15","Belfast","RBHSC","Type 1","2,550","364","0","2,914","87.5%"
"2014-04-01","Apr 2014","2014/15","Northern","Antrim Area","Type 1","3,911","2,420","122","6,453","60.6%"
"2014-04-01","Apr 2014","2014/15","Northern","Causeway","Type 1","2,918","778","0","3,696","79.0%"
"2014-04-01","Apr 2014","2014/15","Northern","Mid-Ulster","Type 3","711","0","0","711","100.0%"
"2014-04-01","Apr 2014","2014/15","Northern","Whiteabbey","Type 3","772","0","0","772","100.0%"
"2014-04-01","Apr 2014","2014/15","South Eastern","Ards MIU","Type 3","845","0","0","845","100.0%"
"2014-04-01","Apr 2014","2014/15","South Eastern","Bangor MIU","Type 3","851","0","0","851","100.0%"
"2014-04-01","Apr 2014","2014/15","South Eastern","Downe","Type 2","1,414","123","0","1,537","92.0%"
"2014-04-01","Apr 2014","2014/15","South Eastern","Lagan Valley","Type 2","1,547","312","1","1,860","83.2%"
"2014-04-01","Apr 2014","2014/15","South Eastern","Ulster","Type 1","5,194","1,782","38","7,014","74.1%"
"2014-04-01","Apr 2014","2014/15","Southern","Armagh Community","Type 3","660","0","0","660","100.0%"
"2014-04-01","Apr 2014","2014/15","Southern","Craigavon Area","Type 1","4,588","1,965","0","6,553","70.0%"
"2014-04-01","Apr 2014","2014/15","Southern","Daisy Hill","Type 1","2,934","972","1","3,907","75.1%"
"2014-04-01","Apr 2014","2014/15","Southern","South Tyrone","Type 3","2,000","0","0","2,000","100.0%"
"2014-04-01","Apr 2014","2014/15","Western","Altnagelvin Area","Type 1","3,370","1,264","0","4,634","72.7%"
"2014-04-01","Apr 2014","2014/15","Western","South West Acute","Type 1","2,345","272","0","2,617","89.6%"
"2014-04-01","Apr 2014","2014/15","Western","Tyrone County","Type 3","1,401","0","0","1,401","100.0%"
"2014-03-01","Mar 2014","2013/14","Belfast","Mater","Type 1","2,536","1,297","14","3,847","65.9%"
"2014-03-01","Mar 2014","2013/14","Belfast","RVH","Type 1","4,111","2,767","114","6,992","58.8%"
"2014-03-01","Mar 2014","2013/14","Belfast","RVH-RAES","Type 2","1,138","0","0","1,138","100.0%"
"2014-03-01","Mar 2014","2013/14","Belfast","RBHSC","Type 1","2,597","562","0","3,159","82.2%"
"2014-03-01","Mar 2014","2013/14","Northern","Antrim Area","Type 1","4,059","2,343","175","6,577","61.7%"
"2014-03-01","Mar 2014","2013/14","Northern","Causeway","Type 1","2,899","772","0","3,671","79.0%"
"2014-03-01","Mar 2014","2013/14","Northern","Mid-Ulster","Type 3","685","0","0","685","100.0%"
"2014-03-01","Mar 2014","2013/14","Northern","Whiteabbey","Type 3","815","0","0","815","100.0%"
"2014-03-01","Mar 2014","2013/14","South Eastern","Ards MIU","Type 3","858","0","0","858","100.0%"
"2014-03-01","Mar 2014","2013/14","South Eastern","Bangor MIU","Type 3","926","0","0","926","100.0%"
"2014-03-01","Mar 2014","2013/14","South Eastern","Downe","Type 2","1,319","148","0","1,467","89.9%"
"2014-03-01","Mar 2014","2013/14","South Eastern","Lagan Valley","Type 2","1,499","273","0","1,772","84.6%"
"2014-03-01","Mar 2014","2013/14","South Eastern","Ulster","Type 1","5,117","2,180","85","7,382","69.3%"
"2014-03-01","Mar 2014","2013/14","Southern","Armagh Community","Type 3","580","0","0","580","100.0%"
"2014-03-01","Mar 2014","2013/14","Southern","Craigavon Area","Type 1","4,497","2,032","7","6,536","68.8%"
"2014-03-01","Mar 2014","2013/14","Southern","Daisy Hill","Type 1","2,979","733","4","3,716","80.2%"
"2014-03-01","Mar 2014","2013/14","Southern","South Tyrone","Type 3","1,850","0","0","1,850","100.0%"
"2014-03-01","Mar 2014","2013/14","Western","Altnagelvin Area","Type 1","3,082","1,424","0","4,506","68.4%"
"2014-03-01","Mar 2014","2013/14","Western","South West Acute","Type 1","2,216","216","0","2,432","91.1%"
"2014-03-01","Mar 2014","2013/14","Western","Tyrone County","Type 3","1,357","1","0","1,358","99.9%"
"2014-02-01","Feb 2014","2013/14","Belfast","Mater","Type 1","2,124","1,264","7","3,395","62.6%"
"2014-02-01","Feb 2014","2013/14","Belfast","RVH","Type 1","3,734","2,393","48","6,175","60.5%"
"2014-02-01","Feb 2014","2013/14","Belfast","RVH-RAES","Type 2","1,092","0","0","1,092","100.0%"
"2014-02-01","Feb 2014","2013/14","Belfast","RBHSC","Type 1","2,239","302","0","2,541","88.1%"
"2014-02-01","Feb 2014","2013/14","Northern","Antrim Area","Type 1","3,565","1,888","161","5,614","63.5%"
"2014-02-01","Feb 2014","2013/14","Northern","Causeway","Type 1","2,306","816","0","3,122","73.9%"
"2014-02-01","Feb 2014","2013/14","Northern","Mid-Ulster","Type 3","603","0","0","603","100.0%"
"2014-02-01","Feb 2014","2013/14","Northern","Whiteabbey","Type 3","719","0","0","719","100.0%"
"2014-02-01","Feb 2014","2013/14","South Eastern","Ards MIU","Type 3","733","0","0","733","100.0%"
"2014-02-01","Feb 2014","2013/14","South Eastern","Bangor MIU","Type 3","704","0","0","704","100.0%"
"2014-02-01","Feb 2014","2013/14","South Eastern","Downe","Type 2","1,003","136","0","1,139","88.1%"
"2014-02-01","Feb 2014","2013/14","South Eastern","Lagan Valley","Type 2","1,386","241","1","1,628","85.1%"
"2014-02-01","Feb 2014","2013/14","South Eastern","Ulster","Type 1","4,199","2,083","38","6,320","66.4%"
"2014-02-01","Feb 2014","2013/14","Southern","Armagh Community","Type 3","459","0","0","459","100.0%"
"2014-02-01","Feb 2014","2013/14","Southern","Craigavon Area","Type 1","4,243","1,306","0","5,549","76.5%"
"2014-02-01","Feb 2014","2013/14","Southern","Daisy Hill","Type 1","2,615","612","0","3,227","81.0%"
"2014-02-01","Feb 2014","2013/14","Southern","South Tyrone","Type 3","1,484","0","0","1,484","100.0%"
"2014-02-01","Feb 2014","2013/14","Western","Altnagelvin Area","Type 1","2,646","1,244","0","3,890","68.0%"
"2014-02-01","Feb 2014","2013/14","Western","South West Acute","Type 1","1,819","346","11","2,176","83.6%"
"2014-02-01","Feb 2014","2013/14","Western","Tyrone County","Type 3","1,094","1","0","1,095","99.9%"
"2014-01-01","Jan 2014","2013/14","Belfast","Mater","Type 1","2,358","1,376","7","3,741","63.0%"
"2014-01-01","Jan 2014","2013/14","Belfast","RVH","Type 1","3,769","2,820","26","6,615","57.0%"
"2014-01-01","Jan 2014","2013/14","Belfast","RVH-RAES","Type 2","1,186","0","0","1,186","100.0%"
"2014-01-01","Jan 2014","2013/14","Belfast","RBHSC","Type 1","2,418","212","0","2,630","91.9%"
"2014-01-01","Jan 2014","2013/14","Northern","Antrim Area","Type 1","3,905","2,093","94","6,092","64.1%"
"2014-01-01","Jan 2014","2013/14","Northern","Causeway","Type 1","2,372","828","0","3,200","74.1%"
"2014-01-01","Jan 2014","2013/14","Northern","Mid-Ulster","Type 3","650","0","0","650","100.0%"
"2014-01-01","Jan 2014","2013/14","Northern","Whiteabbey","Type 3","707","0","0","707","100.0%"
"2014-01-01","Jan 2014","2013/14","South Eastern","Ards MIU","Type 3","760","0","0","760","100.0%"
"2014-01-01","Jan 2014","2013/14","South Eastern","Bangor MIU","Type 3","783","0","0","783","100.0%"
"2014-01-01","Jan 2014","2013/14","South Eastern","Downe","Type 2","1,148","150","0","1,298","88.4%"
"2014-01-01","Jan 2014","2013/14","South Eastern","Lagan Valley","Type 2","1,419","262","0","1,681","84.4%"
"2014-01-01","Jan 2014","2013/14","South Eastern","Ulster","Type 1","4,691","2,064","19","6,774","69.3%"
"2014-01-01","Jan 2014","2013/14","Southern","Armagh Community","Type 3","509","0","0","509","100.0%"
"2014-01-01","Jan 2014","2013/14","Southern","Craigavon Area","Type 1","4,390","1,466","0","5,856","75.0%"
"2014-01-01","Jan 2014","2013/14","Southern","Daisy Hill","Type 1","2,976","437","0","3,413","87.2%"
"2014-01-01","Jan 2014","2013/14","Southern","South Tyrone","Type 3","1,450","0","0","1,450","100.0%"
"2014-01-01","Jan 2014","2013/14","Western","Altnagelvin Area","Type 1","3,099","1,360","6","4,465","69.4%"
"2014-01-01","Jan 2014","2013/14","Western","South West Acute","Type 1","2,125","220","0","2,345","90.6%"
"2014-01-01","Jan 2014","2013/14","Western","Tyrone County","Type 3","1,106","1","0","1,107","99.9%"
"2013-12-01","Dec 2013","2013/14","Belfast","Mater","Type 1","2,220","1,267","17","3,504","63.4%"
"2013-12-01","Dec 2013","2013/14","Belfast","RVH","Type 1","3,544","2,772","76","6,392","55.4%"
"2013-12-01","Dec 2013","2013/14","Belfast","RVH-RAES","Type 2","1,193","0","0","1,193","100.0%"
"2013-12-01","Dec 2013","2013/14","Belfast","RBHSC","Type 1","2,637","331","0","2,968","88.8%"
"2013-12-01","Dec 2013","2013/14","Northern","Antrim Area","Type 1","4,076","1,716","30","5,822","70.0%"
"2013-12-01","Dec 2013","2013/14","Northern","Causeway","Type 1","2,348","774","0","3,122","75.2%"
"2013-12-01","Dec 2013","2013/14","Northern","Mid-Ulster","Type 3","569","0","0","569","100.0%"
"2013-12-01","Dec 2013","2013/14","Northern","Whiteabbey","Type 3","651","0","0","651","100.0%"
"2013-12-01","Dec 2013","2013/14","South Eastern","Ards MIU","Type 3","641","0","0","641","100.0%"
"2013-12-01","Dec 2013","2013/14","South Eastern","Bangor MIU","Type 3","676","0","0","676","100.0%"
"2013-12-01","Dec 2013","2013/14","South Eastern","Downe","Type 2","1,334","202","2","1,538","86.7%"
"2013-12-01","Dec 2013","2013/14","South Eastern","Lagan Valley","Type 2","1,838","256","0","2,094","87.8%"
"2013-12-01","Dec 2013","2013/14","South Eastern","Ulster","Type 1","4,735","1,944","21","6,700","70.7%"
"2013-12-01","Dec 2013","2013/14","Southern","Armagh Community","Type 3","453","0","0","453","100.0%"
"2013-12-01","Dec 2013","2013/14","Southern","Craigavon Area","Type 1","4,331","1,844","1","6,176","70.1%"
"2013-12-01","Dec 2013","2013/14","Southern","Daisy Hill","Type 1","2,935","372","0","3,307","88.8%"
"2013-12-01","Dec 2013","2013/14","Southern","South Tyrone","Type 3","1,426","0","0","1,426","100.0%"
"2013-12-01","Dec 2013","2013/14","Western","Altnagelvin Area","Type 1","3,019","1,298","14","4,331","69.7%"
"2013-12-01","Dec 2013","2013/14","Western","South West Acute","Type 1","2,088","226","0","2,314","90.2%"
"2013-12-01","Dec 2013","2013/14","Western","Tyrone County","Type 3","1,165","0","0","1,165","100.0%"
"2013-11-01","Nov 2013","2013/14","Belfast","Mater","Type 1","2,675","874","2","3,551","75.3%"
"2013-11-01","Nov 2013","2013/14","Belfast","RVH","Type 1","3,887","2,520","52","6,459","60.2%"
"2013-11-01","Nov 2013","2013/14","Belfast","RVH-RAES","Type 2","1,220","0","0","1,220","100.0%"
"2013-11-01","Nov 2013","2013/14","Belfast","RBHSC","Type 1","2,470","218","0","2,688","91.9%"
"2013-11-01","Nov 2013","2013/14","Northern","Antrim Area","Type 1","4,287","1,473","0","5,760","74.4%"
"2013-11-01","Nov 2013","2013/14","Northern","Causeway","Type 1","2,623","544","0","3,167","82.8%"
"2013-11-01","Nov 2013","2013/14","Northern","Mid-Ulster","Type 3","569","0","0","569","100.0%"
"2013-11-01","Nov 2013","2013/14","Northern","Whiteabbey","Type 3","755","1","0","756","99.9%"
"2013-11-01","Nov 2013","2013/14","South Eastern","Ards MIU","Type 3","759","0","0","759","100.0%"
"2013-11-01","Nov 2013","2013/14","South Eastern","Bangor MIU","Type 3","899","0","0","899","100.0%"
"2013-11-01","Nov 2013","2013/14","South Eastern","Downe","Type 2","1,345","233","2","1,580","85.1%"
"2013-11-01","Nov 2013","2013/14","South Eastern","Lagan Valley","Type 2","1,960","272","11","2,243","87.4%"
"2013-11-01","Nov 2013","2013/14","South Eastern","Ulster","Type 1","5,139","1,452","8","6,599","77.9%"
"2013-11-01","Nov 2013","2013/14","Southern","Armagh Community","Type 3","476","0","0","476","100.0%"
"2013-11-01","Nov 2013","2013/14","Southern","Craigavon Area","Type 1","4,198","1,655","1","5,854","71.7%"
"2013-11-01","Nov 2013","2013/14","Southern","Daisy Hill","Type 1","2,834","269","0","3,103","91.3%"
"2013-11-01","Nov 2013","2013/14","Southern","South Tyrone","Type 3","1,609","0","0","1,609","100.0%"
"2013-11-01","Nov 2013","2013/14","Western","Altnagelvin Area","Type 1","3,038","1,287","6","4,331","70.1%"
"2013-11-01","Nov 2013","2013/14","Western","South West Acute","Type 1","2,063","73","0","2,136","96.6%"
"2013-11-01","Nov 2013","2013/14","Western","Tyrone County","Type 3","1,222","2","0","1,224","99.8%"
"2013-10-01","Oct 2013","2013/14","Belfast","Mater","Type 1","2,745","1,083","7","3,835","71.6%"
"2013-10-01","Oct 2013","2013/14","Belfast","RVH","Type 1","4,354","2,623","20","6,997","62.2%"
"2013-10-01","Oct 2013","2013/14","Belfast","RVH-RAES","Type 2","1,274","0","0","1,274","100.0%"
"2013-10-01","Oct 2013","2013/14","Belfast","RBHSC","Type 1","2,577","148","0","2,725","94.6%"
"2013-10-01","Oct 2013","2013/14","Northern","Antrim Area","Type 1","4,828","1,318","0","6,146","78.6%"
"2013-10-01","Oct 2013","2013/14","Northern","Causeway","Type 1","2,739","661","0","3,400","80.6%"
"2013-10-01","Oct 2013","2013/14","Northern","Mid-Ulster","Type 3","713","0","0","713","100.0%"
"2013-10-01","Oct 2013","2013/14","Northern","Whiteabbey","Type 3","810","0","0","810","100.0%"
"2013-10-01","Oct 2013","2013/14","South Eastern","Ards MIU","Type 3","851","0","0","851","100.0%"
"2013-10-01","Oct 2013","2013/14","South Eastern","Bangor MIU","Type 3","1,040","0","0","1,040","100.0%"
"2013-10-01","Oct 2013","2013/14","South Eastern","Downe","Type 2","1,580","215","0","1,795","88.0%"
"2013-10-01","Oct 2013","2013/14","South Eastern","Lagan Valley","Type 2","2,252","286","0","2,538","88.7%"
"2013-10-01","Oct 2013","2013/14","South Eastern","Ulster","Type 1","5,230","1,739","47","7,016","74.5%"
"2013-10-01","Oct 2013","2013/14","Southern","Armagh Community","Type 3","654","0","0","654","100.0%"
"2013-10-01","Oct 2013","2013/14","Southern","Craigavon Area","Type 1","4,629","1,537","0","6,166","75.1%"
"2013-10-01","Oct 2013","2013/14","Southern","Daisy Hill","Type 1","2,997","326","0","3,323","90.2%"
"2013-10-01","Oct 2013","2013/14","Southern","South Tyrone","Type 3","1,791","0","0","1,791","100.0%"
"2013-10-01","Oct 2013","2013/14","Western","Altnagelvin Area","Type 1","3,375","1,221","1","4,597","73.4%"
"2013-10-01","Oct 2013","2013/14","Western","South West Acute","Type 1","2,293","106","1","2,400","95.5%"
"2013-10-01","Oct 2013","2013/14","Western","Tyrone County","Type 3","1,325","0","0","1,325","100.0%"
"2013-09-01","Sep 2013","2013/14","Belfast","Mater","Type 1","2,941","773","0","3,714","79.2%"
"2013-09-01","Sep 2013","2013/14","Belfast","RVH","Type 1","4,412","2,227","2","6,641","66.4%"
"2013-09-01","Sep 2013","2013/14","Belfast","RVH-RAES","Type 2","1,111","0","0","1,111","100.0%"
"2013-09-01","Sep 2013","2013/14","Belfast","RBHSC","Type 1","2,332","236","0","2,568","90.8%"
"2013-09-01","Sep 2013","2013/14","Northern","Antrim Area","Type 1","4,535","1,456","3","5,994","75.7%"
"2013-09-01","Sep 2013","2013/14","Northern","Causeway","Type 1","2,757","618","0","3,375","81.7%"
"2013-09-01","Sep 2013","2013/14","Northern","Mid-Ulster","Type 3","622","0","0","622","100.0%"
"2013-09-01","Sep 2013","2013/14","Northern","Whiteabbey","Type 3","709","2","0","711","99.7%"
"2013-09-01","Sep 2013","2013/14","South Eastern","Ards MIU","Type 3","864","0","0","864","100.0%"
"2013-09-01","Sep 2013","2013/14","South Eastern","Bangor MIU","Type 3","1,080","0","0","1,080","100.0%"
"2013-09-01","Sep 2013","2013/14","South Eastern","Downe","Type 2","1,628","217","4","1,849","88.0%"
"2013-09-01","Sep 2013","2013/14","South Eastern","Lagan Valley","Type 2","2,199","171","0","2,370","92.8%"
"2013-09-01","Sep 2013","2013/14","South Eastern","Ulster","Type 1","5,068","1,811","52","6,931","73.1%"
"2013-09-01","Sep 2013","2013/14","Southern","Armagh Community","Type 3","611","0","0","611","100.0%"
"2013-09-01","Sep 2013","2013/14","Southern","Craigavon Area","Type 1","4,230","1,781","1","6,012","70.4%"
"2013-09-01","Sep 2013","2013/14","Southern","Daisy Hill","Type 1","3,038","421","0","3,459","87.8%"
"2013-09-01","Sep 2013","2013/14","Southern","South Tyrone","Type 3","1,873","0","0","1,873","100.0%"
"2013-09-01","Sep 2013","2013/14","Western","Altnagelvin Area","Type 1","2,976","1,608","18","4,602","64.7%"
"2013-09-01","Sep 2013","2013/14","Western","South West Acute","Type 1","2,205","114","0","2,319","95.1%"
"2013-09-01","Sep 2013","2013/14","Western","Tyrone County","Type 3","1,365","0","0","1,365","100.0%"
"2013-08-01","Aug 2013","2013/14","Belfast","Mater","Type 1","3,052","811","1","3,864","79.0%"
"2013-08-01","Aug 2013","2013/14","Belfast","RVH","Type 1","4,457","2,444","11","6,912","64.5%"
"2013-08-01","Aug 2013","2013/14","Belfast","RVH-RAES","Type 2","1,124","0","0","1,124","100.0%"
"2013-08-01","Aug 2013","2013/14","Belfast","RBHSC","Type 1","2,211","186","0","2,397","92.2%"
"2013-08-01","Aug 2013","2013/14","Northern","Antrim Area","Type 1","4,626","1,362","0","5,988","77.3%"
"2013-08-01","Aug 2013","2013/14","Northern","Causeway","Type 1","2,986","846","1","3,833","77.9%"
"2013-08-01","Aug 2013","2013/14","Northern","Mid-Ulster","Type 3","630","0","0","630","100.0%"
"2013-08-01","Aug 2013","2013/14","Northern","Whiteabbey","Type 3","687","0","0","687","100.0%"
